iteration,init,silhouette,cluster_sizes
1,k-means++,0.6494536995887756,"[2203, 498, 303, 761]"
1,random,0.6485065221786499,"[2198, 506, 306, 755]"
2,k-means++,0.6494534611701965,"[2203, 498, 303, 761]"
2,random,0.648506224155426,"[2198, 506, 306, 755]"
3,k-means++,0.6494532227516174,"[2203, 498, 303, 761]"
3,random,0.6485058665275574,"[2198, 506, 306, 755]"
4,k-means++,0.6494531631469727,"[2203, 498, 303, 761]"
4,random,0.6485058069229126,"[2198, 506, 306, 755]"
5,k-means++,0.6494534611701965,"[2203, 498, 303, 761]"
5,random,0.6485061645507812,"[2198, 506, 306, 755]"
6,k-means++,0.6494539976119995,"[2203, 498, 303, 761]"
6,random,0.648506760597229,"[2198, 506, 306, 755]"
7,k-means++,0.6494537591934204,"[2203, 498, 303, 761]"
7,random,0.6485065221786499,"[2198, 506, 306, 755]"
8,k-means++,0.6494542956352234,"[2203, 498, 303, 761]"
8,random,0.6485068798065186,"[2198, 506, 306, 755]"
9,k-means++,0.649453341960907,"[2203, 498, 303, 761]"
9,random,0.6485060453414917,"[2198, 506, 306, 755]"
10,k-means++,0.6494542956352234,"[2203, 498, 303, 761]"
10,random,0.6485068798065186,"[2198, 506, 306, 755]"
11,k-means++,0.6494532823562622,"[2203, 498, 303, 761]"
11,random,0.6485059261322021,"[2198, 506, 306, 755]"
12,k-means++,0.6494529843330383,"[2203, 498, 303, 761]"
12,random,0.648505449295044,"[2198, 506, 306, 755]"
13,k-means++,0.6494519114494324,"[2203, 498, 303, 761]"
13,random,0.6485044360160828,"[2198, 506, 306, 755]"
14,k-means++,0.6494531035423279,"[2203, 498, 303, 761]"
14,random,0.6485055685043335,"[2198, 506, 306, 755]"
15,k-means++,0.6494519114494324,"[2203, 498, 303, 761]"
15,random,0.6485043168067932,"[2198, 506, 306, 755]"
16,k-means++,0.6494529843330383,"[2203, 498, 303, 761]"
16,random,0.6485055685043335,"[2198, 506, 306, 755]"
17,k-means++,0.6494532227516174,"[2203, 498, 303, 761]"
17,random,0.648505687713623,"[2198, 506, 306, 755]"
18,k-means++,0.6494543552398682,"[2203, 498, 303, 761]"
18,random,0.6485069394111633,"[2198, 506, 306, 755]"
19,k-means++,0.6494539976119995,"[2203, 498, 303, 761]"
19,random,0.6485066413879395,"[2198, 506, 306, 755]"
20,k-means++,0.6494537591934204,"[2203, 498, 303, 761]"
20,random,0.6485063433647156,"[2198, 506, 306, 755]"
