satellite_no2,highway_primary,high_traffic,medium_traffic,low_traffic,landuse_industrial_variance,landuse_industrial_distance_mean,landuse_industrial_b5,landuse_residential_b5,landuse_forest_b5,neighbours_no2_variance,neighbours_no2_distance_mean,neighbours_no2_distance_max
5.23E-05,27872.2082,0.051581338,0.588421352,0.222449401,0,0,0,0,0,1.40E-12,1.69E-06,-1.03E-06
5.23E-05,26813.8123,0.01835905,0.611182352,0.238064208,0,0,0,0,0,1.32E-12,1.51E-06,-1.28E-06
5.14E-05,25770.22416,0.229315138,0.493448146,0.172242722,0,0,0,0,0,1.41E-12,7.70E-07,-2.21E-07
5.11E-05,24748.18627,0.170664063,0.506446909,0.170738017,0,0,0,0,0,2.13E-12,2.81E-07,1.33E-06
5.12E-05,23749.67024,0.113068076,0.523690685,0.176597984,0,0,0,0,0,3.88E-12,4.51E-07,3.41E-06
5.14E-05,22778.17554,0.059428299,0.544777589,0.189157889,0,0,0,0,0,3.59E-12,1.13E-06,4.03E-06
5.36E-05,21837.36294,0.033694522,0.569281797,0.207233099,0,0,0,0,0,2.42E-12,1.75E-06,-4.64E-06
5.51E-05,20931.93393,0.228315806,0.763830727,0.374864746,0,0,0,0,0,3.33E-12,3.54E-06,-6.84E-06
5.51E-05,20065.26427,0.286290144,0.784447597,0.407358306,0,0,0,0,0,4.01E-12,3.77E-06,-4.86E-06
5.19E-05,19124.36956,0.295088708,0.436570668,0.147200057,0,0,0,0,0,4.44E-12,5.55E-07,-2.18E-06
5.13E-05,17938.46426,0.245964548,0.445896433,0.136455526,0,0,0,0,0,5.07E-12,1.16E-07,3.28E-06
5.02E-05,16663.94533,0.192329332,0.460235976,0.134566288,0,0,0,0,0,8.27E-12,4.04E-07,5.18E-06
4.87E-05,15389.69347,0.143403036,0.479140706,0.141873809,0,0,0,0,0,2.79E-12,8.91E-07,3.50E-06
4.97E-05,14115.78101,0.10562896,0.502096707,0.157141478,0,0,0,0,0,1.95E-12,3.46E-07,2.13E-06
4.70E-05,12842.30895,0.092921477,0.528577841,0.178394881,0,0,0,0,0,1.49E-12,2.95E-06,4.86E-06
4.61E-05,11569.42272,0.068918518,0.558083824,0.203816676,0,0,0,0,0,2.42E-12,3.64E-06,5.81E-06
4.67E-05,10297.33958,0.219898935,0.719197168,0.359527727,0,0,0,0,0,1.53E-12,3.02E-06,5.15E-06
4.87E-05,9026.399065,0.279593899,0.741054408,0.393273663,0,0,0,0,0,1.93E-12,8.32E-07,2.93E-06
4.86E-05,7757.162817,0.339289822,0.765408271,0.427426133,0,0,0,0,0,2.10E-12,1.06E-06,3.31E-06
4.98E-05,6490.630722,0.212901692,0.39866476,0.100987739,0,0,0,0,0.2,1.43E-12,2.74E-07,2.08E-06
4.97E-05,5228.768177,0.190601427,0.414635264,0.098454552,0.082644628,0.090909091,0,0,0,5.48E-13,5.02E-07,2.21E-06
4.94E-05,3976.02357,0.185186692,0.435517338,0.108113639,0,0,0,0,0.4,3.28E-13,5.03E-07,1.36E-06
4.93E-05,2744.909379,0.160700361,0.460645592,0.127326981,0,0,0,0,0,2.13E-13,7.18E-07,1.25E-06
4.94E-05,1586.602932,0.140344281,0.489368282,0.152645105,0,0,0,0,0.6,6.34E-13,3.75E-07,1.41E-06
5.10E-05,554.2747359,0.088501679,0.521093009,0.181603112,0,0,0,0,0.4,1.20E-12,1.05E-06,3.01E-07
4.98E-05,698.2019199,0.054098307,0.555306827,0.21275552,0,0,0,0,0.4,8.54E-13,1.64E-10,1.52E-06
4.95E-05,1970.917206,0.068373722,0.591579074,0.245285181,0.082644628,0.090909091,0,0,0.2,2.16E-12,3.34E-07,1.76E-06
4.73E-05,3246.314932,0.115047319,0.629554873,0.278719229,0,0,0,0,0,2.05E-12,1.41E-06,3.04E-06
4.52E-05,3909.304727,0.169839609,0.654740761,0.312772583,0,0,0,0,0,3.90E-12,3.76E-06,6.10E-06
4.64E-05,4507.043294,0.227066214,0.67515064,0.347265826,0,0,0,0,0,2.69E-12,2.43E-06,4.88E-06
4.64E-05,5348.012,0.285290335,0.698384906,0.382081465,0,0,0,0,0,2.65E-12,2.45E-06,4.93E-06
4.61E-05,6336.090493,0.344012901,0.724172301,0.417139791,0,0,0,0,0,1.92E-12,2.84E-06,5.28E-06
4.62E-05,7412.683078,0.206525488,0.339997496,0.085753775,0,0,0,0,0,3.25E-12,2.54E-06,5.25E-06
4.80E-05,8287.1297,0.163488731,0.351881495,0.066315643,0,0,0,0,0,3.68E-12,1.64E-06,4.67E-06
4.97E-05,9117.39746,0.13343803,0.369869663,0.062498762,0,0,0,0,0,3.27E-12,2.58E-07,3.01E-06
4.98E-05,10038.78417,0.125673259,0.393128034,0.076519892,0,0,0,0,0,3.85E-12,8.01E-07,2.91E-06
5.08E-05,11027.45701,0.143730172,0.420786584,0.101573726,0,0,0,0,0,3.22E-12,2.24E-07,2.65E-06
5.13E-05,12069.47201,0.172580123,0.452040914,0.131736231,0,0,0,0,0,2.17E-12,5.83E-08,2.16E-06
5.13E-05,13150.71077,0.133404456,0.486200126,0.164303042,0,0,0,0,0,2.87E-12,4.44E-07,2.12E-06
5.08E-05,14236.76946,0.112939301,0.52269658,0.198122555,0,0,0,0,0,1.37E-12,4.89E-09,-2.22E-06
4.99E-05,15341.28131,0.120693976,0.561075535,0.232661215,0,0,0,0,0,3.60E-12,4.01E-08,-4.11E-06
4.93E-05,16468.87752,0.152551738,0.591337451,0.267646135,0,0,0,0,0,9.89E-12,7.98E-08,-5.45E-06
4.80E-05,17615.97965,0.197428627,0.609958802,0.302925384,0,0,0,0,0,2.10E-11,1.05E-06,-8.46E-06
4.69E-05,18779.12823,0.248498504,0.631813649,0.338408337,0,0,0,0,0,2.44E-11,1.19E-06,-7.52E-06
4.56E-05,19954.62989,0.302691619,0.65657989,0.374037833,0,0,0,0,0,1.93E-11,5.26E-07,-4.04E-06
4.23E-05,21140.7488,0.358613651,0.68394199,0.409776133,0,0,0,0,0,1.40E-11,2.02E-06,8.21E-06
4.24E-05,22336.79213,0.176061301,0.292005336,0.063636524,0,0,0,0,0,8.99E-12,1.45E-06,6.99E-06
4.38E-05,23541.24727,0.123163563,0.305751574,0.034573127,0,0,0,0,0,4.41E-12,8.36E-07,-7.38E-07
4.38E-05,24752.88631,0.079846212,0.326281568,0.027220691,0,0,0,0,0,1.79E-12,2.03E-06,-7.00E-07
4.45E-05,25970.70379,0.066468496,0.352416561,0.050876569,0,0,0,0,0,1.95E-12,2.71E-06,-2.16E-06
4.40E-05,27193.55291,0.095777026,0.383015189,0.083489699,0,0,0,0,0,1.28E-12,1.19E-06,4.51E-07
4.32E-05,28420.05801,0.144456501,0.417099624,0.118153343,0,0,0,0,0,4.16E-12,5.69E-07,3.89E-06
4.33E-05,29650.75197,0.186569665,0.453887734,0.153530426,0,0,0,0,0,4.18E-12,1.45E-06,4.51E-06
4.51E-05,30885.13404,0.172354288,0.49277613,0.189232066,0,0,0,0,0,6.39E-12,4.28E-07,4.05E-06
4.66E-05,32122.77905,0.177601067,0.529364736,0.225107427,0,0,0,0,0,1.16E-11,3.92E-07,4.25E-06
4.68E-05,33363.32389,0.200826009,0.545733417,0.261086327,0,0,0,0,0,1.13E-11,3.70E-07,4.13E-06
4.97E-05,34606.4567,0.236902295,0.565853683,0.297131812,0,0,0,0,0,6.15E-12,1.89E-06,1.16E-06
4.95E-05,35851.90827,0.281005147,0.58934236,0.333222613,0,0,0,0,0,1.25E-12,1.56E-06,-2.21E-06
4.98E-05,37099.44508,0.32997783,0.615815029,0.369345632,0,0,0,0,0,2.25E-12,1.81E-06,-4.17E-06
4.97E-05,38348.86362,0.162199189,0.244362957,0.056696308,0,0,0,0,0,2.13E-12,1.28E-06,-3.22E-06
4.69E-05,39599.98579,0.102686817,0.260620236,0.020793831,0,0,0,0,0,3.10E-12,1.78E-06,4.01E-06
4.64E-05,40852.65506,0.043632256,0.284410134,0.006879989,0,0,0,0,0,2.21E-12,1.59E-06,3.37E-06
