iteration,init,silhouette,cluster_sizes
1,k-means++,0.31396979093551636,"[236, 315, 517, 166, 565]"
1,random,0.3133677840232849,"[495, 166, 571, 314, 253]"
2,k-means++,0.3340897858142853,"[457, 596, 173, 277, 296]"
2,random,0.3340108096599579,"[276, 596, 458, 173, 296]"
3,k-means++,0.3425604999065399,"[380, 332, 762, 148, 177]"
3,random,0.37045592069625854,"[193, 464, 181, 338, 623]"
4,k-means++,0.3226698040962219,"[690, 327, 217, 411, 154]"
4,random,0.32262054085731506,"[154, 689, 217, 412, 327]"
5,k-means++,0.40503939986228943,"[166, 405, 200, 258, 770]"
5,random,0.4052424132823944,"[405, 771, 257, 201, 165]"
6,k-means++,0.38431107997894287,"[661, 524, 336, 180, 98]"
6,random,0.38431107997894287,"[661, 336, 98, 180, 524]"
7,k-means++,0.3400479257106781,"[367, 188, 360, 193, 691]"
7,random,0.3397454619407654,"[186, 679, 358, 190, 386]"
8,k-means++,0.3433046042919159,"[316, 704, 451, 93, 235]"
8,random,0.34126102924346924,"[329, 236, 445, 90, 699]"
9,k-means++,0.29495173692703247,"[638, 171, 286, 392, 312]"
9,random,0.29495173692703247,"[392, 312, 171, 638, 286]"
10,k-means++,0.34616973996162415,"[609, 136, 556, 312, 186]"
10,random,0.3462567627429962,"[134, 312, 186, 556, 611]"
11,k-means++,0.3024500608444214,"[266, 445, 202, 634, 252]"
11,random,0.3022368848323822,"[636, 444, 204, 249, 266]"
12,k-means++,0.3490475118160248,"[478, 204, 169, 298, 650]"
12,random,0.3490475118160248,"[650, 298, 204, 478, 169]"
13,k-means++,0.3106273412704468,"[631, 299, 169, 226, 474]"
13,random,0.3106273412704468,"[169, 226, 631, 299, 474]"
14,k-means++,0.3298138976097107,"[188, 388, 343, 641, 239]"
14,random,0.3298138976097107,"[239, 641, 188, 388, 343]"
15,k-means++,0.28653308749198914,"[170, 271, 578, 241, 539]"
15,random,0.28793027997016907,"[240, 529, 169, 599, 262]"
16,k-means++,0.28961172699928284,"[203, 510, 312, 468, 306]"
16,random,0.28961172699928284,"[510, 468, 203, 312, 306]"
17,k-means++,0.2935272753238678,"[462, 200, 685, 276, 176]"
17,random,0.2935272753238678,"[276, 685, 200, 462, 176]"
18,k-means++,0.2976810336112976,"[566, 194, 169, 513, 357]"
18,random,0.29753124713897705,"[513, 564, 195, 359, 168]"
19,k-means++,0.28858545422554016,"[516, 325, 177, 196, 585]"
19,random,0.28858545422554016,"[516, 585, 177, 325, 196]"
20,k-means++,0.2797197699546814,"[539, 492, 350, 177, 241]"
20,random,0.2796582877635956,"[350, 492, 239, 537, 181]"
