csv_row_index,merged_row_index,match_flag,recovered_years_joined,Seller Link,Store Name,Year Joined,Total Products,Rating,Review Count,Followers,Total Revenue,Total Review,1 Start,2 Start,3 Start,4 Start,5 Start
0,0,,9,https://tiki.vn/cua-hang/cong-nghe-viet?source_screen=product_detail&source_engine=organic,Công Nghệ Việt,2017,63,4.4,21000,1700,99846090,6921.0,292.0,123.0,293.0,1107.0,5106.0
1,1,,3,https://tiki.vn/cua-hang/lynu-store?source_screen=product_detail&source_engine=organic,LYNU STORE,2023,348,4.3,87,56,8801050,18.0,2.0,0.0,2.0,3.0,11.0
2,2,,7,https://tiki.vn/cua-hang/kho-si-cong-nghe?source_screen=product_detail&source_engine=organic,KHO SỈ CÔNG NGHỆ,2019,518,4.4,3200,834,161314611,1192.0,63.0,26.0,17.0,181.0,905.0
3,3,,7,https://tiki.vn/cua-hang/telovietnam?source_screen=product_detail&source_engine=organic,Telovietnam,2019,2000,3.9,620,366,157896050,149.0,27.0,3.0,8.0,28.0,83.0
4,4,,5,https://tiki.vn/cua-hang/rem-che-nang-thiet-ke-theo-xe-mroto?source_screen=product_detail&source_engine=organic,Rèm Che Nắng Thiết Kế Theo Xe MrÔTÔ,2021,282,4.4,93,36,1506000,75.0,4.0,2.0,2.0,18.0,49.0
5,5,,5,https://tiki.vn/cua-hang/homes-store?source_screen=product_detail&source_engine=organic,HOMES STORE,2021,302,4.7,1500,4700,91669090,870.0,14.0,7.0,12.0,112.0,725.0
6,6,,7,https://tiki.vn/cua-hang/mai-lee-house?source_screen=product_detail&source_engine=organic,Mai Lee House,2019,274,4.5,11000,1700,15554481,6725.0,195.0,91.0,333.0,1441.0,4665.0
7,7,,4,https://tiki.vn/cua-hang/vascara-offical-store?source_screen=product_detail&source_engine=organic,VASCARA OFFICIAL STORE,2022,184,4.8,130,3600,3180000,2.0,0.0,0.0,0.0,0.0,2.0
8,8,,7,https://tiki.vn/cua-hang/danido-store?source_screen=product_detail&source_engine=organic,Danido Store,2019,110,4.5,17000,3500,92139500,13723.0,424.0,234.0,566.0,2630.0,9869.0
9,9,,6,https://tiki.vn/cua-hang/brother-official-store?source_screen=product_detail&source_engine=organic,Brother Official Store,2020,43,4.7,919,2600,4148500,370.0,11.0,0.0,4.0,31.0,324.0
10,10,,5,https://tiki.vn/cua-hang/bopvidapandago?source_screen=product_detail&source_engine=organic,BopvidaPandago,2021,39,4.3,11,8,0,4.0,0.0,0.0,0.0,1.0,3.0
11,11,,5,https://tiki.vn/cua-hang/giay-huy-hoang?source_screen=product_detail&source_engine=organic,Giày Huy Hoàng,2021,558,4.3,17,41,1019500,13.0,0.0,0.0,0.0,5.0,8.0
12,12,,4,https://tiki.vn/cua-hang/vali-va-phu-kien-do-da?source_screen=product_detail&source_engine=organic,VaLi Và Phụ Kiện Đồ Da,2022,182,5.0,3,4,0,3.0,0.0,0.0,0.0,0.0,3.0
13,13,,8,https://tiki.vn/cua-hang/minh-tho-petshop?source_screen=product_detail&source_engine=organic,minh tho petshop,2018,226,4.6,2800,340,11467000,1438.0,34.0,13.0,41.0,189.0,1161.0
