iter, metric, loss, n_changed_assignment, time:2026-07-13 09:50:25
iter 0, silhouette = 0.30530330538749695, loss:0.0, n_changed_assignment:1799, time:38.113
iter 1, silhouette = 0.3439086973667145, loss:0.013330000452697277, n_changed_assignment:211, time:43.449
iter 2, silhouette = 0.42573341727256775, loss:0.005330000072717667, n_changed_assignment:147, time:46.496
iter 3, silhouette = 0.4658122658729553, loss:0.012000000104308128, n_changed_assignment:60, time:49.656
iter 4, silhouette = 0.5246720910072327, loss:0.0065899998880922794, n_changed_assignment:72, time:52.556
iter 5, silhouette = 0.5665242075920105, loss:0.008729999884963036, n_changed_assignment:35, time:56.653
iter 6, silhouette = 0.5965207815170288, loss:0.010529999621212482, n_changed_assignment:40, time:59.669
iter 7, silhouette = 0.6206815838813782, loss:0.005040000192821026, n_changed_assignment:19, time:62.592
iter 8, silhouette = 0.644725501537323, loss:0.0014400000218302011, n_changed_assignment:15, time:65.463
iter 9, silhouette = 0.6613204479217529, loss:0.003980000037699938, n_changed_assignment:12, time:68.989
iter 10, silhouette = 0.6785726547241211, loss:0.0035699999425560236, n_changed_assignment:15, time:72.399
iter 11, silhouette = 0.696220874786377, loss:0.003060000017285347, n_changed_assignment:10, time:75.264
iter 12, silhouette = 0.7134079337120056, loss:0.0023799999617040157, n_changed_assignment:16, time:78.167
iter 13, silhouette = 0.7261471152305603, loss:0.0021899999119341373, n_changed_assignment:6, time:81.323
iter 14, silhouette = 0.7359006404876709, loss:0.003000000026077032, n_changed_assignment:6, time:85.134
iter 15, silhouette = 0.7443663477897644, loss:0.0013699999544769526, n_changed_assignment:7, time:88.063
iter 16, silhouette = 0.7536463141441345, loss:0.005520000122487545, n_changed_assignment:0, time:91.020
run 1/1, seed:42, silhouette:0.7536463141441345, time:91.285
average over 1 runs, silhouette:0.75365, time:91.285
phase, space, metric, loss, n_changed_assignment, cluster_sizes, time:2026-07-13 10:26:09
phase:baseline_raw_input, space:x, silhouette = 0.31003278493881226, loss:0.0, n_changed_assignment:1799," cluster_sizes:[180, 359, 589, 188, 483]", time:37.394
phase:baseline_pretrain_fused, space:H_fused, silhouette = 0.2991429567337036, loss:0.0, n_changed_assignment:1799," cluster_sizes:[218, 628, 173, 466, 314]", time:38.007
phase:refine_iter_1, space:H_fused, silhouette = 0.32278382778167725, loss:0.01672999933362007, n_changed_assignment:261," cluster_sizes:[451, 178, 293, 626, 251]", time:42.014
phase:refine_iter_2, space:H_fused, silhouette = 0.39629316329956055, loss:0.006390000227838755, n_changed_assignment:140," cluster_sizes:[290, 604, 250, 177, 478]", time:45.041
phase:refine_iter_3, space:H_fused, silhouette = 0.43296319246292114, loss:0.012600000016391277, n_changed_assignment:79," cluster_sizes:[319, 244, 178, 594, 464]", time:48.986
phase:refine_iter_4, space:H_fused, silhouette = 0.4823731780052185, loss:0.0036200000904500484, n_changed_assignment:75," cluster_sizes:[308, 626, 177, 240, 448]", time:52.165
phase:refine_iter_5, space:H_fused, silhouette = 0.5131391286849976, loss:0.010060000233352184, n_changed_assignment:41," cluster_sizes:[301, 631, 175, 230, 462]", time:55.124
phase:refine_iter_6, space:H_fused, silhouette = 0.5360292792320251, loss:0.009349999949336052, n_changed_assignment:34," cluster_sizes:[304, 453, 174, 225, 643]", time:58.051
phase:refine_iter_7, space:H_fused, silhouette = 0.5517474412918091, loss:0.0049299998208880424, n_changed_assignment:29," cluster_sizes:[297, 449, 172, 655, 226]", time:61.759
phase:refine_iter_8, space:H_fused, silhouette = 0.570805549621582, loss:0.010339999571442604, n_changed_assignment:19," cluster_sizes:[282, 451, 174, 669, 223]", time:65.327
phase:refine_iter_9, space:H_fused, silhouette = 0.5881032943725586, loss:0.00471000000834465, n_changed_assignment:16," cluster_sizes:[671, 221, 450, 284, 173]", time:68.369
phase:refine_iter_10, space:H_fused, silhouette = 0.6059119701385498, loss:0.002420000033453107, n_changed_assignment:18," cluster_sizes:[220, 278, 453, 174, 674]", time:71.457
phase:refine_iter_11, space:H_fused, silhouette = 0.6229676008224487, loss:0.0027099999133497477, n_changed_assignment:17," cluster_sizes:[268, 220, 687, 450, 174]", time:74.696
phase:refine_iter_12, space:H_fused, silhouette = 0.6354587078094482, loss:0.0033499998971819878, n_changed_assignment:5," cluster_sizes:[266, 220, 174, 453, 686]", time:79.131
phase:refine_iter_13, space:H_fused, silhouette = 0.6437224745750427, loss:0.00279000005684793, n_changed_assignment:9," cluster_sizes:[266, 217, 458, 684, 174]", time:82.178
phase:refine_iter_14, space:H_fused, silhouette = 0.6599750518798828, loss:0.0017999999690800905, n_changed_assignment:6," cluster_sizes:[267, 220, 681, 457, 174]", time:85.347
phase:refine_iter_15, space:H_fused, silhouette = 0.6636788249015808, loss:0.0016299999551847577, n_changed_assignment:6," cluster_sizes:[267, 220, 455, 683, 174]", time:88.905
phase:refine_iter_16, space:H_fused, silhouette = 0.6704181432723999, loss:0.00267999991774559, n_changed_assignment:1," cluster_sizes:[267, 220, 456, 682, 174]", time:92.866
phase:final_recomputed_artifact, space:H_fused, silhouette = 0.6704181432723999, loss:0.00267999991774559, n_changed_assignment:0," cluster_sizes:[267, 220, 456, 682, 174]", time:93.081
run 1/1, seed:42, silhouette:0.6704181432723999, time:93.129
average over 1 runs, silhouette:0.67042, time:93.130
