orig_index,h_0,h_1,h_2,h_3,h_4,cluster
0,-0.34300742,0.024121806,0.47471792,-0.064370856,-0.1308083,3
1,-0.24162734,0.19948658,0.46053606,0.12753278,-0.055228457,3
2,-0.30440217,-0.0072375536,0.4062913,-0.14019457,-0.12704253,3
3,-0.32442656,0.13364476,0.39709708,-0.07215424,-0.13662514,3
4,-0.14452055,-0.010201223,0.19558646,0.051941328,-0.09342128,2
5,-0.062909886,-0.016155735,0.233906,0.13633546,-0.11455262,2
6,-0.3251735,0.04249078,0.46113998,-0.057591688,-0.11473534,3
7,0.01799126,-0.02184628,0.39863488,0.22844318,0.10684811,4
8,-0.30046174,0.011499852,0.433842,-0.07759572,-0.10241987,3
9,-0.11839782,-0.017995939,0.25579974,0.101051055,-0.08914046,2
10,0.007951856,0.0037245061,0.36374298,0.10859441,0.15902452,4
11,-0.08325985,-0.03127204,0.2694676,0.08606046,-0.024514928,2
12,0.08129388,0.046070576,0.41368514,0.04929637,0.29731077,4
13,-0.29039338,-0.098647766,0.22376525,0.032874756,0.019456975,0
14,-0.30158293,-0.10405041,0.23475485,0.04128664,0.025097646,0
15,-0.19390014,0.043664943,0.38859886,0.0019934624,-0.10459001,3
16,-0.07565143,-0.027229548,0.29587042,0.19541746,-0.102505505,2
17,-0.22759223,-0.07077042,0.24334776,0.059873223,-0.03576833,0
18,-0.3085552,0.114886165,0.5647615,-0.10735701,-0.21540537,3
19,-0.29315823,0.043845974,0.56777006,-0.13371907,-0.18414012,3
20,-0.38067913,-0.07717872,0.20346934,0.0024470575,0.042149186,0
21,-0.22096705,-0.1042864,0.28464508,0.024025738,-0.04580668,0
22,-0.36207572,0.15156986,0.5758618,-0.13118157,-0.17032883,3
23,-0.29850546,0.14290456,0.523456,-0.09036395,-0.20506096,3
24,-0.38496232,-0.08091459,0.18828966,0.02547643,0.0621244,0
25,-0.30960235,0.037180394,0.49955094,-0.067645445,-0.14300826,3
26,-0.060084496,-0.033596486,0.25747722,0.15058693,-0.12584272,2
27,-0.10832986,-0.01361794,0.23617028,0.1386604,-0.086564675,2
