orig_index,h_0,h_1,h_2,h_3,h_4,cluster
0,0.09050168,-0.12618515,-0.38757172,0.13415936,0.17904784,0
1,-0.17030895,-0.26382306,-0.29140925,-0.08445865,0.123361245,4
2,0.05709658,-0.16194661,-0.22314757,0.097218305,0.19752362,3
3,0.033466503,-0.067519516,-0.3523202,0.110455155,0.13696492,0
4,-0.16630428,-0.15428358,-0.16407076,-0.008376293,0.095020995,3
5,-0.13221289,-0.21925059,-0.23431474,-0.0062871166,0.13554458,3
6,0.045453668,-0.18636829,-0.39620367,0.08369824,0.19673243,0
7,-0.4379096,-0.39525527,-0.29324,-0.20432168,0.092648536,1
8,0.057510406,-0.17502165,-0.3587939,0.07532297,0.19739346,0
9,-0.030318294,-0.20130953,-0.1917885,0.051458444,0.12747729,3
10,-0.46416128,-0.3957439,-0.28056976,-0.14660874,-0.00094498065,1
11,-0.29702353,-0.32493734,-0.2153823,-0.07580789,0.12514496,4
12,-0.5912916,-0.40798962,-0.30942878,-0.19734088,-0.049671054,1
13,-0.018974692,-0.18856996,-0.1672451,0.083489954,0.13914883,3
14,-0.024861455,-0.21193728,-0.1600686,0.08320224,0.1299384,3
15,-0.026689634,-0.22041184,-0.20351148,0.08897518,0.12844086,3
16,-0.21934083,-0.28884372,-0.24443972,-0.029386695,0.14129789,4
17,-0.011266939,-0.1319439,-0.15203531,0.03725308,0.102036014,3
18,0.07339598,-0.12811537,-0.4568077,0.15128356,0.2075426,0
19,0.06555138,-0.107195705,-0.4160452,0.14728045,0.18057917,0
20,-0.012095571,-0.18784535,-0.19776303,0.049314946,0.14694938,3
21,7.811189e-05,-0.17939389,-0.17834327,0.08952856,0.13198356,3
22,0.097772166,-0.17456539,-0.42272526,0.12824388,0.19457877,0
23,0.07901943,-0.11767038,-0.42743614,0.15457648,0.17302954,0
24,-0.005166322,-0.16931197,-0.21032734,0.04671389,0.13296872,3
25,0.09766096,-0.16970503,-0.4115482,0.11181787,0.20127586,0
26,-0.113727406,-0.24450424,-0.23488238,0.007408119,0.14102301,3
27,-0.05843462,-0.20618197,-0.15752918,0.062003203,0.115999535,3
28,-0.025200762,-0.21660298,-0.1648106,0.058535196,0.12405366,3
29,-0.033535406,-0.21615314,-0.21757206,0.06402145,0.15380926,3
30,0.031718045,-0.18150571,-0.2818286,0.090212226,0.15807402,0
31,-0.09998872,-0.22210401,-0.18464331,0.057357647,0.14552447,3
32,0.07919,-0.15917148,-0.3894202,0.123939276,0.18857941,0
33,-0.031049594,-0.19686837,-0.15023966,0.06464603,0.13253689,3
34,-0.044086356,-0.26461092,-0.21506755,0.08919138,0.15724294,3
35,-0.1581682,-0.21728629,-0.20569687,-0.027224997,0.13689773,4
36,-0.043499738,-0.18450859,-0.15589385,0.07230546,0.10525186,3
37,-0.03765492,-0.19554764,-0.15198144,0.07890492,0.12251943,3
38,-0.014614001,-0.20821959,-0.1654509,0.08272681,0.13778107,3
39,0.028734967,-0.1810216,-0.15397777,0.07351245,0.14902258,3
40,-0.054583862,-0.2093342,-0.18967983,0.061258912,0.12155914,3
41,-0.14035301,-0.17441519,-0.17866042,0.008587201,0.14123923,3
42,-0.28105927,-0.306023,-0.25421238,-0.088045135,0.13124615,4
43,-0.22140828,-0.26820907,-0.23101303,-0.018346354,0.14601329,4
44,0.0062035024,-0.18096986,-0.18719932,0.065778,0.14616466,3
45,0.056366082,-0.15627784,-0.28434065,0.1310997,0.16825989,0
46,0.03348346,-0.1666637,-0.3137514,0.11187342,0.17538077,0
47,0.061683506,-0.13170518,-0.40389577,0.10405452,0.17852254,0
48,-0.03230633,-0.23183568,-0.13783811,0.100022085,0.1232477,3
49,-0.29332542,-0.30683985,-0.25145537,-0.06654115,0.13564424,4
50,-0.07116551,-0.14595051,-0.14290872,0.06176851,0.1284391,3
51,-1.0543847,-0.39333162,-0.45326534,-0.40482235,-0.21060307,2
52,-0.20337796,-0.21396767,-0.20630848,-0.01881215,0.103728995,4
53,-0.18375345,-0.1505985,-0.16313118,-0.026619982,0.12962858,4
54,-0.17127024,-0.23694825,-0.21626523,-0.0025490094,0.14782973,4
55,0.024163112,-0.15265366,-0.25152555,0.08344817,0.14899163,3
56,-0.048625324,-0.18533462,-0.20349684,0.040626705,0.14397828,3
57,-0.025128871,-0.21144855,-0.14481208,0.07224131,0.1344004,3
58,-0.036362752,-0.2176135,-0.17883591,0.05568442,0.102961294,3
59,-0.11200449,-0.20655996,-0.19058025,0.014127178,0.11993769,3
60,0.0038038492,-0.17783049,-0.19744429,0.072423935,0.13450125,3
61,0.06974554,-0.10739067,-0.4523433,0.15438554,0.1838615,0
62,0.071511686,-0.113880344,-0.44869098,0.14890465,0.1910651,0
63,0.005768329,-0.17854904,-0.18569109,0.058626235,0.11961019,3
64,-0.0172185,-0.20382975,-0.13252646,0.08291582,0.1319038,3
65,-0.014571525,-0.20130897,-0.16518992,0.0730512,0.119948015,3
66,-0.15110028,-0.23462418,-0.21055448,-0.05416117,0.15170786,4
67,-0.11234273,-0.20470753,-0.1683797,0.011755399,0.089516565,3
68,0.030735753,-0.20470706,-0.25086337,0.106308445,0.12423937,3
69,0.08200839,-0.16066343,-0.37229314,0.11826317,0.19075012,0
70,0.015531324,-0.17918856,-0.17898324,0.06893261,0.14544201,3
71,0.012371689,-0.20533618,-0.18765059,0.06571598,0.13143484,3
72,0.07303831,-0.15499559,-0.38236588,0.11308247,0.17258488,0
73,-0.2681679,-0.27181143,-0.21887614,-0.035638705,0.19169164,4
74,0.11140901,-0.13726941,-0.38715512,0.15032826,0.18117028,0
75,0.023381904,-0.16918528,-0.27201107,0.0978208,0.1610523,0
76,0.011900336,-0.15684831,-0.24548864,0.091134995,0.15071559,3
77,-0.24254727,-0.28964955,-0.20702714,-0.032943636,0.15342034,4
78,-0.15545012,-0.2347449,-0.22711071,-0.010697443,0.13143112,4
79,0.069100946,-0.1769809,-0.41297308,0.13342145,0.18668704,0
80,-0.27999234,-0.30510563,-0.27821827,-0.062342156,0.13388354,4
81,0.00676395,-0.178248,-0.1927563,0.05103007,0.14305875,3
82,-0.2491523,-0.25119638,-0.22775742,-0.03264218,0.13400856,4
83,-0.011802085,-0.15704179,-0.18059492,0.0694689,0.11809915,3
84,0.042037547,-0.1743582,-0.3351692,0.096070096,0.16637228,0
85,0.074584946,-0.11177498,-0.40041685,0.107166976,0.17043842,0
86,0.057132326,-0.14801008,-0.4104771,0.17518908,0.09859693,0
87,0.08661993,-0.11668416,-0.40602556,0.1125904,0.18955073,0
88,-0.2778586,-0.26828945,-0.22206289,-0.022975244,0.14157273,4
89,0.060696468,-0.109481886,-0.41667676,0.15764819,0.19029616,0
90,-0.04486999,-0.18772875,-0.17688206,0.054775655,0.13232797,3
91,-0.23447925,-0.3077148,-0.20529436,-0.025506556,0.1500208,4
92,-0.21327491,-0.23915271,-0.31472322,-0.12160367,0.24951082,4
93,-0.025663346,-0.17781274,-0.15044756,0.040552348,0.14965424,3
