job_index,strategy,n_bins,min_support,final_score,score_delta,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message
0,uniform,3,1.0,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
1,uniform,3,0.95,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
2,uniform,3,0.9,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
3,uniform,3,0.85,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
4,uniform,3,0.8,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
5,uniform,3,0.75,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
6,uniform,3,0.7,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
7,uniform,3,0.65,0.5226303935050964,0.115772008895874,4,"fused_4_high, fused_5_low+fused_6_low, fused_11_high, fused_10_low","[159, 202, 836, 384, 218]",0.5,0.1,5.0,ok,
8,uniform,3,0.6,0.494181215763092,0.0873228311538696,2,"fused_10_low+fused_4_high, fused_11_high+fused_5_low+fused_6_low","[161, 203, 807, 224, 404]",0.5,0.1,5.0,ok,
9,uniform,3,0.55,0.4986196458339691,0.0917612612247467,3,"fused_10_low+fused_4_high, fused_11_high+fused_5_low+fused_6_low, fused_10_low+fused_6_low","[161, 203, 819, 395, 221]",0.6,0.1,4.0,ok,
10,uniform,3,0.5,0.5021025538444519,0.0952441692352294,3,"fused_4_high+fused_6_low, fused_10_low+fused_5_low+fused_6_low, fused_10_low+fused_11_high+fused_6_low","[155, 190, 908, 361, 185]",0.1,0.5,5.0,ok,
11,uniform,3,0.45,0.5464138984680176,0.1395555138587951,3,"fused_10_low+fused_4_high+fused_5_low+fused_6_low, fused_10_low+fused_11_high+fused_4_high+fused_6_low, fused_10_low+fused_11_high+fused_5_low+fused_6_low","[161, 206, 780, 424, 228]",0.9,0.1,5.0,ok,
12,uniform,3,0.4,0.5092331767082214,0.102374792098999,2,"fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low, fused_4_high+fused_5_low+fused_6_low+fused_9_medium","[163, 200, 793, 408, 235]",0.4,0.1,5.0,ok,
13,uniform,3,0.35,0.5168468356132507,0.1099884510040283,4,"fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low, fused_1_medium+fused_4_high+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_9_medium","[181, 204, 607, 421, 386]",0.8,0.9,4.0,ok,
