job_index,strategy,n_bins,min_support,final_score,n_selected_features,selected_features,init,cluster_sizes,status,error_message
0,uniform,3,1.0,0.4068583846092224,0,,,[],baseline_no_features,
1,uniform,3,0.95,0.4068583846092224,0,,,[],baseline_no_features,
2,uniform,3,0.9,0.4068583846092224,0,,,[],baseline_no_features,
3,uniform,3,0.85,0.4068583846092224,0,,,[],baseline_no_features,
4,uniform,3,0.8,0.4068583846092224,0,,,[],baseline_no_features,
5,uniform,3,0.75,0.4068583846092224,0,,,[],baseline_no_features,
6,uniform,3,0.7,0.4068583846092224,0,,,[],baseline_no_improvement,
7,uniform,3,0.65,0.518917441368103,4,"fused_4_high, fused_5_low+fused_6_low, fused_11_high, fused_10_low",huang,"[211, 385, 159, 818, 226]",ok,
8,uniform,3,0.6,0.4853469431400299,3,"fused_10_low+fused_4_high, fused_11_high+fused_5_low+fused_6_low, fused_9_medium",huang,"[162, 225, 399, 771, 242]",ok,
9,uniform,3,0.55,0.5014945864677429,3,"fused_10_low+fused_4_high, fused_11_high+fused_5_low+fused_6_low, fused_10_low+fused_6_low",huang,"[397, 807, 211, 225, 159]",ok,
10,uniform,3,0.5,0.48788633942604065,4,"fused_4_high+fused_6_low, fused_10_low+fused_11_high+fused_6_low, fused_10_low+fused_5_low+fused_6_low, fused_10_low+fused_4_high+fused_9_medium",huang,"[401, 218, 158, 819, 203]",ok,
11,uniform,3,0.45,0.5376697778701782,3,"fused_10_low+fused_4_high+fused_5_low+fused_6_low, fused_10_low+fused_11_high+fused_4_high+fused_6_low, fused_10_low+fused_11_high+fused_5_low+fused_6_low",huang,"[159, 204, 800, 412, 224]",ok,
12,uniform,3,0.4,0.5030950903892517,3,"fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low, fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_4_high+fused_9_medium",huang,"[769, 204, 246, 416, 164]",ok,
13,uniform,3,0.35,0.47561579942703247,3,"fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low, fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_7_medium",cao,"[204, 268, 418, 167, 742]",ok,
14,uniform,3,0.3,0.4322949945926666,2,"fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium",huang,"[420, 205, 280, 722, 172]",ok,
15,uniform,3,0.25,0.5016055107116699,2,"fused_4_medium, fused_11_medium",huang,"[792, 159, 407, 244, 197]",ok,
16,uniform,3,0.2,0.5423501133918762,4,"fused_4_medium+fused_6_low, fused_11_medium, fused_4_medium+fused_5_low, fused_2_high+fused_3_low+fused_4_medium",huang,"[244, 159, 793, 396, 207]",ok,
17,uniform,3,0.15,0.5263186693191528,12,"fused_10_medium+fused_4_medium, fused_11_medium+fused_5_medium, fused_4_medium+fused_5_low+fused_8_medium, fused_11_medium+fused_6_medium, fused_2_high+fused_3_low+fused_4_medium+fused_5_low+fused_6_low, fused_11_high+fused_4_medium+fused_5_low+fused_6_low+fused_9_medium, fused_11_high+fused_3_low+fused_4_medium+fused_5_low+fused_6_low, fused_3_low+fused_4_medium+fused_5_low+fused_6_low+fused_9_medium, fused_1_medium+fused_4_medium+fused_5_low+fused_9_medium, fused_11_medium+fused_8_medium, fused_11_high+fused_2_high+fused_3_low+fused_4_medium+fused_6_low, fused_11_high+fused_2_high+fused_4_medium+fused_5_low+fused_6_low",huang,"[214, 829, 243, 159, 354]",ok,
18,uniform,3,0.1,0.4068583846092224,0,,,[],baseline_no_improvement,
19,uniform,5,1.0,0.4068583846092224,0,,,[],baseline_no_features,
20,uniform,5,0.95,0.4068583846092224,0,,,[],baseline_no_features,
21,uniform,5,0.9,0.4068583846092224,0,,,[],baseline_no_features,
22,uniform,5,0.85,0.4068583846092224,0,,,[],baseline_no_features,
23,uniform,5,0.8,0.4068583846092224,0,,,[],baseline_no_features,
24,uniform,5,0.75,0.4068583846092224,0,,,[],baseline_no_features,
25,uniform,5,0.7,0.4068583846092224,0,,,[],baseline_no_features,
26,uniform,5,0.65,0.4068583846092224,0,,,[],baseline_no_features,
27,uniform,5,0.6,0.4068583846092224,0,,,[],baseline_no_features,
28,uniform,5,0.55,0.4068583846092224,0,,,[],baseline_no_improvement,
29,uniform,5,0.5,0.4222901463508606,1,fused_6_verylow,huang,"[199, 385, 166, 257, 792]",ok,
30,uniform,5,0.45,0.4222901463508606,1,fused_6_verylow,huang,"[199, 385, 166, 257, 792]",ok,
31,uniform,5,0.4,0.41220322251319885,1,fused_5_verylow+fused_6_verylow,huang,"[199, 391, 265, 777, 167]",ok,
32,uniform,5,0.35,0.41220322251319885,1,fused_5_verylow+fused_6_verylow,huang,"[199, 391, 265, 777, 167]",ok,
33,uniform,5,0.3,0.4489077627658844,2,"fused_10_verylow+fused_6_verylow, fused_10_verylow+fused_5_verylow",huang,"[236, 165, 254, 465, 679]",ok,
34,uniform,5,0.25,0.431253045797348,1,fused_6_low,huang,"[195, 387, 253, 792, 172]",ok,
35,uniform,5,0.2,0.4068583846092224,0,,,[],baseline_no_improvement,
36,uniform,5,0.15,0.4068583846092224,0,,,[],baseline_no_improvement,
37,uniform,5,0.1,0.4068583846092224,0,,,[],baseline_no_improvement,
38,uniform,7,1.0,0.4068583846092224,0,,,[],baseline_no_features,
39,uniform,7,0.95,0.4068583846092224,0,,,[],baseline_no_features,
40,uniform,7,0.9,0.4068583846092224,0,,,[],baseline_no_features,
41,uniform,7,0.85,0.4068583846092224,0,,,[],baseline_no_features,
42,uniform,7,0.8,0.4068583846092224,0,,,[],baseline_no_features,
43,uniform,7,0.75,0.4068583846092224,0,,,[],baseline_no_features,
44,uniform,7,0.7,0.4068583846092224,0,,,[],baseline_no_features,
45,uniform,7,0.65,0.4068583846092224,0,,,[],baseline_no_features,
46,uniform,7,0.6,0.4068583846092224,0,,,[],baseline_no_features,
47,uniform,7,0.55,0.4068583846092224,0,,,[],baseline_no_features,
48,uniform,7,0.5,0.4068583846092224,0,,,[],baseline_no_features,
49,uniform,7,0.45,0.4068583846092224,0,,,[],baseline_no_improvement,
50,uniform,7,0.4,0.4068583846092224,0,,,[],baseline_no_improvement,
51,uniform,7,0.35,0.41284623742103577,1,fused_6_megalow,huang,"[204, 411, 167, 266, 751]",ok,
52,uniform,7,0.3,0.41284623742103577,1,fused_6_megalow,huang,"[204, 411, 167, 266, 751]",ok,
53,uniform,7,0.25,0.4068583846092224,0,,,[],baseline_no_improvement,
54,uniform,7,0.2,0.4068583846092224,0,,,[],baseline_no_improvement,
55,uniform,7,0.15,0.4158310890197754,3,"fused_9_high, fused_11_high, fused_6_low",huang,"[167, 373, 197, 259, 803]",ok,
56,uniform,7,0.1,0.4068583846092224,0,,,[],baseline_no_improvement,
57,quantile,3,1.0,0.4068583846092224,0,,,[],baseline_no_features,
58,quantile,3,0.95,0.4068583846092224,0,,,[],baseline_no_features,
59,quantile,3,0.9,0.4068583846092224,0,,,[],baseline_no_features,
60,quantile,3,0.85,0.4068583846092224,0,,,[],baseline_no_features,
61,quantile,3,0.8,0.4068583846092224,0,,,[],baseline_no_features,
62,quantile,3,0.75,0.4068583846092224,0,,,[],baseline_no_features,
63,quantile,3,0.7,0.4068583846092224,0,,,[],baseline_no_features,
64,quantile,3,0.65,0.4068583846092224,0,,,[],baseline_no_features,
65,quantile,3,0.6,0.4068583846092224,0,,,[],baseline_no_features,
66,quantile,3,0.55,0.4068583846092224,0,,,[],baseline_no_features,
67,quantile,3,0.5,0.4068583846092224,0,,,[],baseline_no_features,
68,quantile,3,0.45,0.4068583846092224,0,,,[],baseline_no_features,
69,quantile,3,0.4,0.4068583846092224,0,,,[],baseline_no_features,
70,quantile,3,0.35,0.4068583846092224,0,,,[],baseline_no_features,
71,quantile,3,0.3,0.5338795185089111,5,"fused_4_low+fused_9_high, fused_11_low+fused_6_high, fused_5_high, fused_10_high+fused_4_low, fused_10_high+fused_9_high",huang,"[199, 365, 159, 230, 846]",ok,
72,quantile,3,0.25,0.4068583846092224,0,,,[],baseline_no_improvement,
73,quantile,3,0.2,0.4068583846092224,0,,,[],baseline_no_improvement,
74,quantile,3,0.15,0.5572633147239685,11,"fused_4_low+fused_6_medium, fused_2_low+fused_3_high+fused_9_low, fused_10_high+fused_6_medium, fused_10_high+fused_4_low+fused_6_high+fused_9_high, fused_11_low+fused_1_low+fused_3_high+fused_6_high, fused_11_medium+fused_4_low, fused_2_low+fused_4_high+fused_5_high, fused_11_low+fused_2_low+fused_3_high+fused_5_high+fused_6_high, fused_6_medium+fused_9_high, fused_1_low+fused_2_low+fused_3_high+fused_5_high, fused_10_high+fused_1_high+fused_3_low+fused_4_low+fused_7_high+fused_9_high",huang,"[244, 343, 205, 850, 157]",ok,
75,quantile,3,0.1,0.4068583846092224,0,,,[],baseline_no_improvement,
76,quantile,5,1.0,0.4068583846092224,0,,,[],baseline_no_features,
77,quantile,5,0.95,0.4068583846092224,0,,,[],baseline_no_features,
78,quantile,5,0.9,0.4068583846092224,0,,,[],baseline_no_features,
79,quantile,5,0.85,0.4068583846092224,0,,,[],baseline_no_features,
80,quantile,5,0.8,0.4068583846092224,0,,,[],baseline_no_features,
81,quantile,5,0.75,0.4068583846092224,0,,,[],baseline_no_features,
82,quantile,5,0.7,0.4068583846092224,0,,,[],baseline_no_features,
83,quantile,5,0.65,0.4068583846092224,0,,,[],baseline_no_features,
84,quantile,5,0.6,0.4068583846092224,0,,,[],baseline_no_features,
85,quantile,5,0.55,0.4068583846092224,0,,,[],baseline_no_features,
86,quantile,5,0.5,0.4068583846092224,0,,,[],baseline_no_features,
87,quantile,5,0.45,0.4068583846092224,0,,,[],baseline_no_features,
88,quantile,5,0.4,0.4068583846092224,0,,,[],baseline_no_features,
89,quantile,5,0.35,0.4068583846092224,0,,,[],baseline_no_features,
90,quantile,5,0.3,0.4068583846092224,0,,,[],baseline_no_features,
91,quantile,5,0.25,0.4068583846092224,0,,,[],baseline_no_features,
92,quantile,5,0.2,0.4068583846092224,0,,,[],baseline_no_improvement,
93,quantile,5,0.15,0.4068583846092224,0,,,[],baseline_no_improvement,
94,quantile,5,0.1,0.4068583846092224,0,,,[],baseline_no_improvement,
95,quantile,7,1.0,0.4068583846092224,0,,,[],baseline_no_features,
96,quantile,7,0.95,0.4068583846092224,0,,,[],baseline_no_features,
97,quantile,7,0.9,0.4068583846092224,0,,,[],baseline_no_features,
98,quantile,7,0.85,0.4068583846092224,0,,,[],baseline_no_features,
99,quantile,7,0.8,0.4068583846092224,0,,,[],baseline_no_features,
100,quantile,7,0.75,0.4068583846092224,0,,,[],baseline_no_features,
101,quantile,7,0.7,0.4068583846092224,0,,,[],baseline_no_features,
102,quantile,7,0.65,0.4068583846092224,0,,,[],baseline_no_features,
103,quantile,7,0.6,0.4068583846092224,0,,,[],baseline_no_features,
104,quantile,7,0.55,0.4068583846092224,0,,,[],baseline_no_features,
105,quantile,7,0.5,0.4068583846092224,0,,,[],baseline_no_features,
106,quantile,7,0.45,0.4068583846092224,0,,,[],baseline_no_features,
107,quantile,7,0.4,0.4068583846092224,0,,,[],baseline_no_features,
