original_index,followers,revenue,yearsjoined,rating,goodreview,mediumreview,badreview,fused_1,fused_2,fused_3,fused_4,fused_5,artifact_cluster,reclustered_cluster_raw,reclustered_cluster_aligned
0,0.0601347699,0.008283297655,1.806134489,0.4535828601,0.6311588484,1.618766785,1.080556886,-0.12845974,-0.20599923,-0.053119063,0.168992,-0.33223873,3,0,3
1,-0.07120871268,-0.04744888398,-1.81474617,0.03789719818,-0.4976620954,1.196370851,0.308261747,-0.30648172,-0.10337141,-0.016359098,0.06282604,-0.45106015,2,1,2
2,-0.00905224708,0.008283297655,0.5991742694,0.4245163204,0.6417903555,-0.1721470986,1.292087172,-0.045619756,-0.085052416,0.05786191,0.08304184,-0.3970242,0,3,0
3,-0.0464419976,0.008283297655,0.5991742694,-0.06667769952,-0.09694340079,0.9755582056,1.761924492,-0.16028726,-0.20350507,-0.039957643,0.1305919,-0.28796807,3,0,3
4,-0.07280656527,-0.0536513861,-0.6077859505,0.1447300772,0.3445599119,-0.2699721941,0.5099503773,-0.12485369,-0.107050076,0.06581169,0.049590364,-0.3740455,0,3,0
5,0.1400273992,0.008283297655,-0.6077859505,0.6591251767,0.8185958887,-0.2350488309,-0.188657225,-0.16830717,-0.07605012,0.05968332,0.07501154,-0.4681732,2,1,2
6,0.0601347699,-0.04170688495,0.5991742694,0.5286015441,0.665667666,1.916680834,0.5354996153,-0.13828798,-0.23184499,-0.05878806,0.18860981,-0.35610986,3,0,3
7,0.1400273992,-0.05222809379,-1.21126606,0.5959988491,-1.174894379,-0.7247974588,-0.7072697442,-0.2503683,-0.096678294,0.04547611,0.07724756,-0.5924203,2,1,2
8,0.1400273992,0.008283297655,0.5991742694,0.5331953967,0.6825133192,1.631421908,0.7495508346,-0.13116112,-0.1863054,-0.041119814,0.17074575,-0.34708115,3,0,3
9,0.1320381363,-0.05140464182,-0.004305840521,0.6427589563,0.7757023195,-0.4639355972,-0.1611859102,-0.102514565,-0.1081505,0.03235678,0.098801345,-0.42949027,0,3,0
