orig_index,protocol_id,run_id,config_hash,h_0,h_1,h_2,h_3,h_4,cluster
0,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.14088774,-0.4448255,0.19388138,0.2423126,0.14412397,4
1,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.018651031,-0.35125482,-0.21601042,0.2098406,-0.22202992,1
2,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.17223248,-0.3846662,0.15174343,0.2346483,0.12980112,4
3,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.13110061,-0.58054394,0.19604632,0.068063855,0.2163683,4
4,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.23233834,-0.16135745,-0.048541058,0.05205944,0.00561079,2
5,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.26401168,-0.015634423,-0.124051616,0.12083575,0.06705812,2
6,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.088452935,-0.4118762,0.0538425,0.17194603,0.037987217,4
7,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,-0.037582293,0.21713847,-0.17579584,-0.04000748,0.43407223,0
8,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.10899429,-0.40667886,0.07672353,0.18454698,0.087547496,4
9,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.19810432,-0.08015806,-0.03187667,0.14475718,0.038477227,2
10,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.13285336,0.18305327,-0.056893125,-0.17171541,0.19902492,0
11,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.22779363,0.00875777,-0.0647078,-0.048041895,-0.038246088,2
12,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.09761089,0.28383595,-0.023449404,-0.34822673,0.2722045,0
13,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.0696723,-0.21700794,0.108826295,0.18919551,-0.028164543,1
14,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.050563604,-0.21099116,0.095518924,0.19679001,-0.018474676,1
15,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.18289645,-0.26616007,-0.046964705,0.16213702,0.03708865,1
16,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.2376925,0.019642778,-0.107887715,0.16792515,0.022250153,2
17,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.09798348,-0.17712882,0.09986902,0.15051195,0.038350597,1
18,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.18467292,-0.6351042,0.16200382,0.18309885,0.23107335,4
19,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.19269758,-0.55144,0.23996897,0.21818812,0.27166897,4
20,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,-0.022675693,-0.193437,0.16504817,0.27579594,0.022474416,1
21,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.11995289,-0.22873044,0.06382185,0.15091218,-6.795302e-05,1
22,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.08989728,-0.6544808,0.1357299,0.14821242,0.11546796,4
23,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.14685218,-0.63788533,0.14921436,0.12787215,0.16468102,4
24,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,-0.07192668,-0.19927149,0.17675458,0.2554194,0.015156852,1
25,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.11825669,-0.458219,0.1017763,0.21708752,0.124159254,4
26,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.27138183,-0.012279309,-0.13428298,0.15654656,0.084784254,2
27,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.21602789,-0.05499779,-0.13531353,0.10968413,-0.014463868,2
28,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.16159348,-0.023954265,-0.029364266,0.15859729,-0.063114546,2
29,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.06293762,-0.18423693,0.0064781234,0.124508455,-0.056617446,1
30,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.119397864,-0.34528214,0.064272,0.17466642,0.09912296,4
31,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.22498617,-0.022785563,-0.1282948,0.096127406,-0.017538156,2
