orig_index,protocol_id,run_id,config_hash,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,cluster
0,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,13104.651,4937.513,-1363.374,2317.3835,6157.286,-1880.3812,1689.9048,1442.011,-8.527832,-1928.5903,1
1,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,12607.028,4750.024,-1311.6036,2229.3855,5923.4756,-1808.978,1625.7346,1387.2542,-8.203247,-1855.3545,1
2,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,12116.373,4565.162,-1260.5576,2142.6182,5692.9385,-1738.5717,1562.4622,1333.2634,-7.882019,-1783.1417,1
3,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,11635.847,4384.1147,-1210.5663,2057.6438,5467.163,-1669.6226,1500.4968,1280.3882,-7.5681763,-1712.4229,1
4,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,11166.381,4207.233,-1161.725,1974.6251,5246.583,-1602.2595,1439.9578,1228.7295,-7.2614136,-1643.3312,1
5,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,10709.617,4035.1387,-1114.2051,1893.8528,5031.971,-1536.72,1381.057,1178.4692,-6.963318,-1576.1091,1
6,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,10267.277,3868.478,-1068.1862,1815.6309,4824.136,-1473.2491,1324.016,1129.7959,-6.6741943,-1511.0095,1
7,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,9841.535,3708.0742,-1023.89404,1740.3433,4624.0996,-1412.1589,1269.1133,1082.9475,-6.396057,-1448.352,1
8,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,9434.049,3554.5469,-981.50073,1668.2842,4432.6416,-1353.6887,1216.5664,1038.109,-6.129944,-1388.3815,1
9,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,8991.723,3387.8918,-935.48267,1590.0641,4224.812,-1290.2181,1159.5278,989.43713,-5.840515,-1323.2825,1
10,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,8434.155,3177.817,-877.47595,1491.4656,3962.837,-1210.2134,1087.6278,928.0842,-5.4764404,-1241.2241,1
11,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,7834.922,2952.0435,-815.13434,1385.4993,3681.2854,-1124.2308,1010.35486,862.14685,-5.0849,-1153.0345,3
12,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,7235.813,2726.3174,-752.8058,1279.555,3399.792,-1038.2657,933.09796,796.22296,-4.6935425,-1064.8632,3
13,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,6636.8623,2500.6504,-690.4934,1173.6384,3118.373,-952.3234,855.8615,730.3165,-4.3023376,-976.7152,3
