job_index,strategy,n_bins,min_support,final_score,score_delta,n_selected_features,selected_features,cluster_sizes,alpha,mu_param,gamma,beta,final_numeric_phi,final_categorical_phi,final_numeric_weights,final_categorical_weights,final_numeric_weights_scaled,final_categorical_weights_scaled,silhouette_sample_std,silhouette_negative_fraction,cluster_assignments,status,error_message
0,uniform,3,1.0,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,,baseline_no_features,
1,uniform,3,0.95,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,,baseline_no_features,
2,uniform,3,0.9,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,,baseline_no_features,
3,uniform,3,0.85,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,,baseline_no_features,
4,uniform,3,0.8,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,,baseline_no_improvement,
5,uniform,3,0.75,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,,baseline_no_improvement,
6,uniform,3,0.7,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,,baseline_no_improvement,
7,uniform,3,0.65,0.6719313470303883,0.2444456101904525,2,"fused_3_medium, fused_4_high","[946, 113, 503, 5, 232]",0.2,0.8,0.8,3.0,"{""fused_1"":0.4561459302052392,""fused_2"":0.37899451235305803,""fused_3"":0.5570252796906983,""fused_4"":0.6419700881986751,""fused_5"":0.6909045384370951}","{""fused_3_medium"":0.15590154640163098,""fused_4_high"":0.2881750583827293}","{""fused_1"":0.2147086606037442,""fused_2"":0.23555102808113698,""fused_3"":0.19429606819105294,""fused_4"":0.18098561936313948,""fused_5"":0.17445862376092652}","{""fused_3_medium"":0.5761947606043665,""fused_4_high"":0.4238052393956336}","{""fused_1"":1.073543303018721,""fused_2"":1.177755140405685,""fused_3"":0.9714803409552647,""fused_4"":0.9049280968156974,""fused_5"":0.8722931188046326}","{""fused_3_medium"":1.152389521208733,""fused_4_high"":0.8476104787912672}",0.1093781720824774,0.0,"[0,2,0,0,2,2,0,2,0,0,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,4,2,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,1,0,2,0,2,1,2,2,0,1,0,0,2,2,2,0,2,2,0,0,0,2,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,4,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,4,2,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,0,0,2,2,2,0,0,2,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,2,2,0,0,2,4,0,0,0,0,2,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,0,2,4,0,2,0,0,0,2,0,0,0,0,0,4,0,2,0,2,0,2,0,0,4,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,3,0,0,0,0,0,2,2,0,2,0,0,2,0,2,2,2,0,2,0,0,0,2,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,2,2,0,4,0,2,2,0,0,2,0,1,0,0,2,0,0,4,2,0,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,2,1,0,4,2,0,0,2,0,4,0,4,2,2,4,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,2,0,0,0,2,2,1,0,4,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,2,0,2,0,2,0,0,2,1,0,0,1,0,2,0,0,0,4,2,0,2,2,1,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,4,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,2,0,0,2,0,2,0,0,2,2,4,0,2,0,2,0,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,2,2,2,2,0,0,0,2,1,0,2,0,2,2,0,0,0,2,4,0,2,0,0,1,2,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,4,0,0,0,0,0,1,0,2,2,0,2,0,4,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0,0,1,1,2,0,0,0,4,0,0,2,0,0,0,4,2,4,4,2,2,2,4,2,0,4,0,2,4,0,4,2,4,0,2,2,2,4,0,2,0,0,0,2,0,0,0,0,4,0,0,3,0,0,0,2,2,4,2,0,4,0,2,2,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,1,2,2,4,2,0,1,0,0,2,0,0,0,0,0,1,0,4,2,0,0,0,4,2,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,4,0,2,2,0,2,2,2,0,2,0,0,0,0,4,2,0,2,0,0,0,2,2,0,2,0,1,0,2,2,4,0,2,2,4,0,1,0,2,1,2,0,1,0,2,4,2,2,4,4,2,4,0,2,1,2,2,0,0,4,0,2,0,0,0,2,4,2,2,0,0,4,0,0,4,0,1,0,0,0,2,0,4,0,4,0,2,4,0,2,2,0,0,2,0,2,0,2,0,2,2,4,2,2,0,0,0,0,2,0,0,2,2,0,0,4,1,0,2,1,0,0,0,2,4,4,4,0,4,1,4,0,0,0,0,2,2,1,4,0,0,2,2,0,2,2,0,1,0,4,4,2,2,2,2,4,0,0,0,0,2,0,2,1,4,0,1,4,4,0,2,0,0,0,0,2,0,2,2,4,4,2,0,0,0,0,2,2,2,4,3,4,4,2,2,1,0,2,4,4,4,1,1,2,0,4,0,4,2,0,2,4,2,2,2,2,2,0,0,0,0,1,4,2,0,0,4,4,2,1,0,2,0,2,2,1,2,4,0,0,1,2,4,4,0,4,4,4,2,4,4,0,0,0,0,2,0,0,2,2,4,2,0,1,0,1,2,2,0,2,0,0,2,0,0,1,0,0,4,1,0,0,2,0,0,4,0,0,2,0,1,2,0,4,1,1,1,0,2,0,2,2,4,4,4,0,4,1,2,2,4,0,0,2,2,2,0,0,0,0,0,4,4,4,0,0,4,1,2,2,2,2,4,2,0,0,4,0,0,0,2,0,0,0,2,4,1,2,1,0,4,4,0,2,0,0,0,2,0,0,4,0,4,2,0,4,4,0,0,0,0,1,4,0,0,2,0,1,4,2,2,2,4,0,2,4,2,1,4,0,4,2,4,0,4,4,4,4,4,0,2,0,2,2,4,2,0,4,0,4,4,2,0,2,0,4,0,0,0,2,4,1,1,4,0,4,2,2,0,0,1,1,0,2,2,2,0,2,4,0,2,4,0,2,0,2,0,0,2,0,0,0,0,0,4,0,2,0,2,2,0,2,0,0,1,2,3,4,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,0,4,1,0,4,2,2,0,0,2,2,0,0,2,0,0,1,2,4,0,0,0,0,2,0,2,4,0,1,0,4,0,0,0,0,0,0,2,2,0,0,4,4,4,1,1,0,0,0,0,4,0,1,2,0,0,2,0,0,4,0,2,4,4,0,0,0,4,0,0,0,2,2,1,0,2,0,2,2,4,1,0,4,2,2,2,0,0,2,2,0,2,0,0,0,2,0,0,0,2,4,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,2,2,0,0,2,0,2,4,0,4,2,4,0,2,2,2,0,0,2,0,2,0,2,0,1,4,2,2,4,0,1,0,4,4,0,2,2,0,0,0,0,1,0,4,1,4,2,2,2,4,4,4,1,0,0,0,4,0,2,2,0,0,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,4,4,2,0,2,0,4,4,0,0,4,0,2,4,4,0,0,0,4,2,0,0,0,4,4,2,2,0,0,4,0,4,0,0,0,4,2,0,4,0,4,4,0,0,0,2,2,2,4,1,0,2,0,2,4,2,1,4,2,0,0,0,2,4,4,0,0,2,0,4,4,0,0,1,2,1,0,1,0,4,1,0,4,0,2,0,4,2,2,1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,1,0,0,0,4,2,2,4,0,0,0,2,2,0,2,0,1,2,2,0,2,0,4,2,0,4,0,4,2,0,0,4,0,0,0,0,4,0,2,4,2,0,0,0,0,0,0,0,4,0,2,0,0,2,0,4,2,2,2,0,0,1,2,0,0,1,0,0,4,4,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,4,2,2,0,0,2,4,2,2,4,0,2,4,0,0,4,1,0,0,0,0,2,1,0,0,0,0,4,1,4,2,0,0,0,0,2,2,0,0,2,2,0,4,2,1,0,2,2,2,0,2,2,2,2,2,4,2,0,4,1,0,4,1,4,1,0,0,4,4,0,0,0,4,4,1,4,4,2,2]",ok,
8,uniform,3,0.6,0.685250015893542,0.2577642790536062,2,"fused_2_medium+fused_4_high, fused_3_medium","[672, 156, 221, 304, 446]",0.3,0.9,0.3,2.0,"{""fused_1"":0.4854960815640495,""fused_2"":0.16941202747259254,""fused_3"":0.3614605139169622,""fused_4"":0.3461164525462215,""fused_5"":0.27871146645393424}","{""fused_2_medium+fused_4_high"":0.6177312656461648,""fused_3_medium"":0.5509409323154041}","{""fused_1"":0.11970960370919441,""fused_2"":0.34306031509953744,""fused_3"":0.16078808414395876,""fused_4"":0.16791615393850068,""fused_5"":0.20852584310880873}","{""fused_2_medium+fused_4_high"":0.47142469314866126,""fused_3_medium"":0.5285753068513388}","{""fused_1"":0.5985480185459721,""fused_2"":1.7153015754976872,""fused_3"":0.8039404207197938,""fused_4"":0.8395807696925034,""fused_5"":1.0426292155440438}","{""fused_2_medium+fused_4_high"":0.9428493862973225,""fused_3_medium"":1.0571506137026776}",0.1314215243360866,0.0011117287381878,"[3,1,3,3,4,4,3,1,3,0,1,4,2,0,0,4,4,0,3,3,0,0,3,3,0,3,4,4,0,0,3,4,3,0,3,0,0,0,0,0,0,0,4,4,0,3,3,3,4,1,0,2,4,0,4,0,0,0,4,0,0,3,3,0,4,0,4,0,3,3,0,0,3,4,3,3,0,4,4,3,4,0,4,0,3,3,3,3,4,3,0,1,3,0,4,4,1,0,4,0,4,1,4,4,3,1,0,0,4,3,4,2,4,4,0,0,0,4,0,3,0,4,0,4,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,3,4,0,2,3,3,3,0,4,0,4,0,0,0,3,3,3,4,3,4,0,3,2,0,4,0,3,4,4,0,3,0,0,3,0,4,3,0,1,1,0,0,3,0,3,1,4,4,4,0,4,3,3,0,0,0,0,3,3,4,0,0,4,0,0,1,0,4,2,4,3,4,0,3,3,0,4,4,4,0,3,0,0,3,0,3,4,3,0,0,0,3,4,4,4,4,4,0,0,4,4,4,0,3,4,3,0,0,3,4,1,1,0,4,3,3,0,0,0,0,3,4,0,3,3,4,0,0,0,4,4,4,3,3,4,2,3,0,0,3,4,0,0,0,3,4,3,0,4,0,2,0,0,0,0,0,3,3,4,0,3,4,3,0,3,4,4,4,4,0,4,2,3,4,0,0,0,4,3,0,0,0,0,2,0,4,3,4,0,4,0,0,2,0,0,4,1,0,3,4,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,4,0,1,0,0,3,0,0,4,4,0,4,0,0,4,3,4,4,4,0,4,0,3,0,4,3,0,4,3,4,0,4,0,3,0,1,0,0,3,0,4,4,3,0,0,4,0,4,4,0,2,0,4,4,0,0,4,3,1,0,3,4,3,0,2,4,3,0,3,0,0,0,3,4,4,1,2,3,0,3,0,0,0,0,4,1,0,2,4,0,3,4,0,2,0,2,4,4,2,4,0,0,0,4,0,0,4,3,0,4,0,0,0,0,0,4,3,4,2,0,3,0,3,3,0,0,0,4,0,1,1,3,3,4,4,3,3,3,4,4,1,0,2,0,0,0,4,0,0,4,4,4,4,0,4,0,0,0,0,4,3,0,0,3,0,0,4,4,3,0,4,3,4,4,3,0,3,4,0,4,0,4,0,3,4,1,0,0,1,0,4,3,3,0,2,4,3,4,3,1,1,4,3,0,0,4,4,4,0,3,0,0,4,0,3,1,3,0,1,0,0,4,3,0,1,0,2,0,0,0,0,4,4,0,3,4,0,0,3,3,3,0,4,3,0,3,3,0,0,0,0,4,3,3,0,0,1,0,0,3,2,0,4,0,0,4,0,3,3,0,4,4,2,0,4,0,4,0,0,4,0,3,1,0,0,0,4,4,0,3,0,3,0,4,3,4,4,4,4,0,3,0,4,1,0,3,0,4,4,0,0,3,3,2,0,4,3,0,1,1,1,0,2,3,3,1,0,3,0,0,0,3,0,3,0,0,0,0,3,2,3,0,0,4,4,0,2,3,3,0,3,0,1,0,4,4,0,4,0,2,3,1,0,0,3,3,3,0,2,0,0,0,2,0,0,0,1,1,4,0,0,0,2,3,0,4,0,0,3,2,4,2,2,1,4,1,2,4,0,2,3,4,2,0,2,4,2,0,4,4,4,3,0,4,0,0,3,4,0,0,0,3,2,0,0,1,0,0,3,4,4,2,4,0,2,0,4,4,0,0,0,3,0,4,1,3,4,0,3,4,0,0,0,4,3,1,4,1,2,4,0,1,0,0,3,0,0,0,0,3,1,0,2,4,3,3,0,2,4,0,3,4,3,4,1,0,0,0,3,0,0,0,0,0,2,0,4,4,0,1,4,1,0,4,3,0,0,0,2,4,0,4,3,0,0,4,4,0,4,0,1,3,4,4,2,0,4,4,2,0,1,0,4,1,4,0,1,0,4,2,4,1,2,2,4,2,0,4,1,4,4,0,0,3,0,4,0,0,0,4,2,4,4,0,3,2,0,0,2,3,1,0,0,0,4,0,2,3,2,0,4,2,0,4,4,0,3,4,0,4,0,4,0,4,4,2,1,1,0,0,0,0,4,0,0,4,4,0,0,2,1,0,4,1,0,0,0,4,2,2,2,0,2,1,2,3,0,0,0,4,4,1,2,0,3,4,4,0,1,4,0,1,0,3,2,4,1,4,1,2,0,3,0,0,4,0,4,1,2,3,1,2,2,3,4,0,0,0,0,4,3,4,4,2,2,4,0,0,3,0,4,4,4,2,1,2,2,4,1,1,0,4,2,2,2,1,1,4,0,2,0,2,4,3,4,2,4,4,1,1,4,0,3,3,3,1,2,4,0,0,2,2,4,1,3,4,3,1,4,1,4,2,0,0,1,4,2,2,0,2,2,2,4,2,2,0,3,0,0,4,0,0,4,4,2,4,0,1,0,1,4,4,0,1,0,0,4,0,0,1,3,0,2,1,3,0,4,0,0,2,0,0,4,0,1,4,0,2,1,1,1,3,4,0,4,4,2,2,2,0,2,1,4,4,2,0,0,4,1,4,0,3,0,0,0,3,2,2,0,0,2,1,3,4,4,4,2,4,0,0,2,0,3,0,4,3,0,0,3,2,1,4,1,3,2,2,3,4,0,0,0,4,0,0,2,3,3,4,0,2,2,0,0,3,0,1,2,0,0,4,0,1,2,4,3,4,2,0,4,2,4,1,2,3,2,4,2,0,3,2,2,2,2,0,4,0,4,4,2,4,3,2,0,2,2,4,0,1,0,2,0,0,0,4,2,1,1,2,0,2,4,4,0,0,1,1,0,4,4,4,0,4,2,0,4,2,3,4,0,4,0,3,1,0,0,3,0,3,2,0,4,3,4,4,0,4,0,0,1,4,3,2,0,0,3,0,0,4,3,0,0,0,0,4,4,4,1,0,3,1,3,2,1,4,0,0,3,4,0,0,4,3,3,1,4,2,0,3,0,0,4,0,4,2,0,1,3,2,3,0,0,0,3,3,4,4,0,0,2,2,2,1,1,0,3,0,0,2,0,1,4,0,3,4,0,0,2,0,4,2,2,0,0,3,2,0,0,3,1,4,1,0,4,3,4,3,2,1,0,3,4,4,4,3,3,4,4,3,4,3,3,0,4,0,0,0,4,2,3,3,0,3,0,0,4,0,3,3,0,3,4,0,0,4,4,0,0,4,0,4,2,0,2,4,2,3,4,4,4,0,3,4,3,4,3,4,0,1,2,4,4,2,0,1,0,2,2,3,1,4,0,3,0,0,1,0,2,1,2,4,4,4,2,2,2,1,3,0,0,2,0,4,3,3,3,3,2,0,3,0,1,4,4,0,0,3,0,0,0,0,0,4,2,2,4,3,4,0,2,2,0,0,2,0,1,2,2,0,0,0,2,4,3,0,0,3,2,4,4,0,0,2,0,2,3,0,0,2,4,0,2,0,2,2,0,3,0,4,4,4,2,1,0,4,0,4,2,4,1,2,4,3,3,0,4,2,2,3,0,4,0,2,2,3,3,1,4,1,3,1,0,2,1,0,2,0,4,3,2,4,1,1,1,3,0,3,0,0,0,3,3,1,3,4,0,4,1,0,1,0,0,0,2,4,1,2,3,0,0,3,4,0,4,0,1,4,4,0,4,0,2,4,0,2,0,2,4,0,3,2,0,0,0,3,2,0,4,2,4,3,0,0,0,0,0,0,2,0,4,0,3,1,0,2,4,4,4,0,0,1,4,0,0,1,3,3,2,2,1,0,2,0,2,0,0,0,1,0,3,0,0,3,4,2,4,4,0,0,4,2,4,4,2,0,4,3,0,0,2,1,0,0,0,3,3,1,0,0,0,0,2,1,2,4,0,3,0,0,4,4,0,0,4,1,0,2,4,1,0,4,4,4,0,4,4,4,4,1,3,4,0,2,1,0,2,1,2,1,0,0,2,2,0,0,0,2,3,1,2,2,1,4]",ok,
9,uniform,3,0.55,0.685250015893542,0.2577642790536062,2,"fused_2_medium+fused_4_high, fused_3_medium","[672, 156, 221, 304, 446]",0.3,0.9,0.3,2.0,"{""fused_1"":0.4854960815640495,""fused_2"":0.16941202747259254,""fused_3"":0.3614605139169622,""fused_4"":0.3461164525462215,""fused_5"":0.27871146645393424}","{""fused_2_medium+fused_4_high"":0.6177312656461648,""fused_3_medium"":0.5509409323154041}","{""fused_1"":0.11970960370919441,""fused_2"":0.34306031509953744,""fused_3"":0.16078808414395876,""fused_4"":0.16791615393850068,""fused_5"":0.20852584310880873}","{""fused_2_medium+fused_4_high"":0.47142469314866126,""fused_3_medium"":0.5285753068513388}","{""fused_1"":0.5985480185459721,""fused_2"":1.7153015754976872,""fused_3"":0.8039404207197938,""fused_4"":0.8395807696925034,""fused_5"":1.0426292155440438}","{""fused_2_medium+fused_4_high"":0.9428493862973225,""fused_3_medium"":1.0571506137026776}",0.1314215243360866,0.0011117287381878,"[3,1,3,3,4,4,3,1,3,0,1,4,2,0,0,4,4,0,3,3,0,0,3,3,0,3,4,4,0,0,3,4,3,0,3,0,0,0,0,0,0,0,4,4,0,3,3,3,4,1,0,2,4,0,4,0,0,0,4,0,0,3,3,0,4,0,4,0,3,3,0,0,3,4,3,3,0,4,4,3,4,0,4,0,3,3,3,3,4,3,0,1,3,0,4,4,1,0,4,0,4,1,4,4,3,1,0,0,4,3,4,2,4,4,0,0,0,4,0,3,0,4,0,4,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,3,4,0,2,3,3,3,0,4,0,4,0,0,0,3,3,3,4,3,4,0,3,2,0,4,0,3,4,4,0,3,0,0,3,0,4,3,0,1,1,0,0,3,0,3,1,4,4,4,0,4,3,3,0,0,0,0,3,3,4,0,0,4,0,0,1,0,4,2,4,3,4,0,3,3,0,4,4,4,0,3,0,0,3,0,3,4,3,0,0,0,3,4,4,4,4,4,0,0,4,4,4,0,3,4,3,0,0,3,4,1,1,0,4,3,3,0,0,0,0,3,4,0,3,3,4,0,0,0,4,4,4,3,3,4,2,3,0,0,3,4,0,0,0,3,4,3,0,4,0,2,0,0,0,0,0,3,3,4,0,3,4,3,0,3,4,4,4,4,0,4,2,3,4,0,0,0,4,3,0,0,0,0,2,0,4,3,4,0,4,0,0,2,0,0,4,1,0,3,4,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,4,0,1,0,0,3,0,0,4,4,0,4,0,0,4,3,4,4,4,0,4,0,3,0,4,3,0,4,3,4,0,4,0,3,0,1,0,0,3,0,4,4,3,0,0,4,0,4,4,0,2,0,4,4,0,0,4,3,1,0,3,4,3,0,2,4,3,0,3,0,0,0,3,4,4,1,2,3,0,3,0,0,0,0,4,1,0,2,4,0,3,4,0,2,0,2,4,4,2,4,0,0,0,4,0,0,4,3,0,4,0,0,0,0,0,4,3,4,2,0,3,0,3,3,0,0,0,4,0,1,1,3,3,4,4,3,3,3,4,4,1,0,2,0,0,0,4,0,0,4,4,4,4,0,4,0,0,0,0,4,3,0,0,3,0,0,4,4,3,0,4,3,4,4,3,0,3,4,0,4,0,4,0,3,4,1,0,0,1,0,4,3,3,0,2,4,3,4,3,1,1,4,3,0,0,4,4,4,0,3,0,0,4,0,3,1,3,0,1,0,0,4,3,0,1,0,2,0,0,0,0,4,4,0,3,4,0,0,3,3,3,0,4,3,0,3,3,0,0,0,0,4,3,3,0,0,1,0,0,3,2,0,4,0,0,4,0,3,3,0,4,4,2,0,4,0,4,0,0,4,0,3,1,0,0,0,4,4,0,3,0,3,0,4,3,4,4,4,4,0,3,0,4,1,0,3,0,4,4,0,0,3,3,2,0,4,3,0,1,1,1,0,2,3,3,1,0,3,0,0,0,3,0,3,0,0,0,0,3,2,3,0,0,4,4,0,2,3,3,0,3,0,1,0,4,4,0,4,0,2,3,1,0,0,3,3,3,0,2,0,0,0,2,0,0,0,1,1,4,0,0,0,2,3,0,4,0,0,3,2,4,2,2,1,4,1,2,4,0,2,3,4,2,0,2,4,2,0,4,4,4,3,0,4,0,0,3,4,0,0,0,3,2,0,0,1,0,0,3,4,4,2,4,0,2,0,4,4,0,0,0,3,0,4,1,3,4,0,3,4,0,0,0,4,3,1,4,1,2,4,0,1,0,0,3,0,0,0,0,3,1,0,2,4,3,3,0,2,4,0,3,4,3,4,1,0,0,0,3,0,0,0,0,0,2,0,4,4,0,1,4,1,0,4,3,0,0,0,2,4,0,4,3,0,0,4,4,0,4,0,1,3,4,4,2,0,4,4,2,0,1,0,4,1,4,0,1,0,4,2,4,1,2,2,4,2,0,4,1,4,4,0,0,3,0,4,0,0,0,4,2,4,4,0,3,2,0,0,2,3,1,0,0,0,4,0,2,3,2,0,4,2,0,4,4,0,3,4,0,4,0,4,0,4,4,2,1,1,0,0,0,0,4,0,0,4,4,0,0,2,1,0,4,1,0,0,0,4,2,2,2,0,2,1,2,3,0,0,0,4,4,1,2,0,3,4,4,0,1,4,0,1,0,3,2,4,1,4,1,2,0,3,0,0,4,0,4,1,2,3,1,2,2,3,4,0,0,0,0,4,3,4,4,2,2,4,0,0,3,0,4,4,4,2,1,2,2,4,1,1,0,4,2,2,2,1,1,4,0,2,0,2,4,3,4,2,4,4,1,1,4,0,3,3,3,1,2,4,0,0,2,2,4,1,3,4,3,1,4,1,4,2,0,0,1,4,2,2,0,2,2,2,4,2,2,0,3,0,0,4,0,0,4,4,2,4,0,1,0,1,4,4,0,1,0,0,4,0,0,1,3,0,2,1,3,0,4,0,0,2,0,0,4,0,1,4,0,2,1,1,1,3,4,0,4,4,2,2,2,0,2,1,4,4,2,0,0,4,1,4,0,3,0,0,0,3,2,2,0,0,2,1,3,4,4,4,2,4,0,0,2,0,3,0,4,3,0,0,3,2,1,4,1,3,2,2,3,4,0,0,0,4,0,0,2,3,3,4,0,2,2,0,0,3,0,1,2,0,0,4,0,1,2,4,3,4,2,0,4,2,4,1,2,3,2,4,2,0,3,2,2,2,2,0,4,0,4,4,2,4,3,2,0,2,2,4,0,1,0,2,0,0,0,4,2,1,1,2,0,2,4,4,0,0,1,1,0,4,4,4,0,4,2,0,4,2,3,4,0,4,0,3,1,0,0,3,0,3,2,0,4,3,4,4,0,4,0,0,1,4,3,2,0,0,3,0,0,4,3,0,0,0,0,4,4,4,1,0,3,1,3,2,1,4,0,0,3,4,0,0,4,3,3,1,4,2,0,3,0,0,4,0,4,2,0,1,3,2,3,0,0,0,3,3,4,4,0,0,2,2,2,1,1,0,3,0,0,2,0,1,4,0,3,4,0,0,2,0,4,2,2,0,0,3,2,0,0,3,1,4,1,0,4,3,4,3,2,1,0,3,4,4,4,3,3,4,4,3,4,3,3,0,4,0,0,0,4,2,3,3,0,3,0,0,4,0,3,3,0,3,4,0,0,4,4,0,0,4,0,4,2,0,2,4,2,3,4,4,4,0,3,4,3,4,3,4,0,1,2,4,4,2,0,1,0,2,2,3,1,4,0,3,0,0,1,0,2,1,2,4,4,4,2,2,2,1,3,0,0,2,0,4,3,3,3,3,2,0,3,0,1,4,4,0,0,3,0,0,0,0,0,4,2,2,4,3,4,0,2,2,0,0,2,0,1,2,2,0,0,0,2,4,3,0,0,3,2,4,4,0,0,2,0,2,3,0,0,2,4,0,2,0,2,2,0,3,0,4,4,4,2,1,0,4,0,4,2,4,1,2,4,3,3,0,4,2,2,3,0,4,0,2,2,3,3,1,4,1,3,1,0,2,1,0,2,0,4,3,2,4,1,1,1,3,0,3,0,0,0,3,3,1,3,4,0,4,1,0,1,0,0,0,2,4,1,2,3,0,0,3,4,0,4,0,1,4,4,0,4,0,2,4,0,2,0,2,4,0,3,2,0,0,0,3,2,0,4,2,4,3,0,0,0,0,0,0,2,0,4,0,3,1,0,2,4,4,4,0,0,1,4,0,0,1,3,3,2,2,1,0,2,0,2,0,0,0,1,0,3,0,0,3,4,2,4,4,0,0,4,2,4,4,2,0,4,3,0,0,2,1,0,0,0,3,3,1,0,0,0,0,2,1,2,4,0,3,0,0,4,4,0,0,4,1,0,2,4,1,0,4,4,4,0,4,4,4,4,1,3,4,0,2,1,0,2,1,2,1,0,0,2,2,0,0,0,2,3,1,2,2,1,4]",ok,
