job_index,strategy,n_bins,min_support,final_score,score_delta,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,final_numeric_phi,final_categorical_phi,final_numeric_weights,final_categorical_weights,final_numeric_weights_scaled,final_categorical_weights_scaled,silhouette_sample_std,silhouette_negative_fraction,cluster_assignments,status,error_message
0,uniform,3,1.0,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,baseline_no_features,
1,uniform,3,0.95,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,baseline_no_features,
2,uniform,3,0.9,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,baseline_no_features,
3,uniform,3,0.85,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,baseline_no_features,
4,uniform,3,0.8,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,baseline_no_improvement,
5,uniform,3,0.75,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,baseline_no_improvement,
6,uniform,3,0.7,0.4274857368399357,0.0,0,,[],,,,,,,,,,,,,baseline_no_improvement,
7,uniform,3,0.65,0.6402901745242549,0.2128044376843191,2,"fused_3_medium, fused_4_high","[945, 162, 505, 20, 167]",0.4,0.1,2.0,"{""fused_1"":0.5466888198046913,""fused_2"":0.13602318873569952,""fused_3"":0.26692457180687584,""fused_4"":0.17827969776881344,""fused_5"":0.4012080167096531}","{""fused_3_medium"":0.5365459089659712,""fused_4_high"":0.6727830268813948}","{""fused_1"":0.08698479787417908,""fused_2"":0.34959933620718053,""fused_3"":0.17815376144984651,""fused_4"":0.26673601697738103,""fused_5"":0.11852608749141286}","{""fused_3_medium"":0.5563275689008316,""fused_4_high"":0.44367243109916843}","{""fused_1"":0.4349239893708954,""fused_2"":1.7479966810359027,""fused_3"":0.8907688072492326,""fused_4"":1.3336800848869053,""fused_5"":0.5926304374570643}","{""fused_3_medium"":1.1126551378016631,""fused_4_high"":0.8873448621983369}",0.19609820475432,0.0327959977765425,"[0,2,0,0,2,2,0,2,0,0,1,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,4,2,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,1,0,2,0,2,1,2,2,0,1,0,0,2,2,2,3,2,2,0,0,0,2,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,4,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,4,2,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,0,0,2,2,2,0,0,2,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,2,2,0,0,2,4,0,0,0,0,2,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,2,2,0,2,1,0,2,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,2,0,0,4,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0,2,0,2,2,2,0,2,0,0,0,2,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,2,2,0,4,0,2,2,0,0,2,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,2,1,0,4,2,0,0,2,0,4,0,4,2,2,1,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,2,0,0,0,2,2,1,0,4,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,2,0,2,0,2,0,0,2,1,0,0,1,0,2,0,0,0,1,2,0,2,2,1,2,2,0,0,0,2,2,2,0,0,0,0,2,0,0,4,0,0,1,0,0,2,0,0,1,0,4,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,2,0,0,2,0,2,0,0,2,2,4,0,2,0,2,0,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,2,2,2,2,0,0,0,2,1,0,2,0,2,2,0,0,0,2,4,0,2,0,0,1,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,4,0,0,0,0,0,1,0,2,2,0,2,0,4,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,2,0,0,0,4,0,0,2,0,0,0,4,2,4,4,2,2,2,4,2,0,4,0,2,1,0,4,2,4,0,2,2,2,3,0,2,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,2,2,1,2,0,4,0,2,2,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,1,2,2,4,2,0,1,0,0,2,0,0,0,0,0,1,0,4,2,0,0,0,4,2,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,4,0,2,2,0,2,2,2,0,2,0,0,0,0,4,2,0,2,0,0,0,2,2,0,2,0,1,0,2,2,4,0,2,2,4,0,1,0,2,1,2,0,1,0,2,4,2,2,4,1,2,4,0,2,1,2,2,0,0,3,0,2,0,0,0,2,1,2,2,0,0,1,0,0,4,0,1,0,0,0,2,0,1,0,1,0,2,1,0,2,2,0,0,2,0,2,0,2,0,2,2,1,2,2,0,0,0,0,2,0,0,2,2,0,0,1,1,0,2,1,0,0,0,2,4,4,4,0,4,1,4,0,0,0,0,2,2,1,4,0,0,2,2,0,2,2,0,1,0,3,4,2,2,2,2,1,0,0,0,0,2,0,2,1,4,0,1,4,4,0,2,0,0,0,0,2,0,2,2,4,4,2,0,0,0,0,2,2,2,4,2,4,4,2,2,1,0,2,1,4,4,1,1,2,0,4,0,4,2,0,2,4,2,2,2,1,2,0,0,0,0,1,4,2,0,0,4,4,2,1,0,2,0,2,2,1,2,4,0,0,1,2,4,4,0,1,4,4,2,4,4,0,0,0,0,2,0,0,2,2,4,2,0,1,0,1,2,2,0,2,0,0,2,0,0,1,0,0,4,1,0,0,2,0,0,4,0,0,2,0,3,2,0,4,3,3,1,0,2,0,2,2,4,4,4,0,4,1,2,2,4,0,0,2,2,2,0,0,0,0,0,3,4,4,0,0,4,1,2,2,2,2,1,2,0,0,4,0,0,0,2,0,0,0,2,4,1,2,1,0,4,4,0,2,0,0,0,2,0,0,4,0,3,2,0,4,4,0,0,0,0,1,4,0,0,2,0,1,4,2,2,2,4,0,2,4,2,1,1,0,4,2,4,0,3,1,4,4,4,0,2,0,2,2,4,2,0,4,0,4,4,2,0,2,0,4,0,0,0,2,1,1,1,4,0,4,2,2,0,0,1,1,0,2,2,2,0,2,4,0,2,4,0,2,0,2,0,0,2,0,0,0,0,0,4,0,2,0,2,2,0,2,0,0,1,2,3,1,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,0,3,1,0,4,2,2,0,0,2,2,0,0,2,0,0,1,2,1,0,0,0,0,2,0,2,4,0,1,0,4,0,0,0,0,0,0,2,2,0,0,1,4,4,1,1,0,0,0,0,4,0,1,2,0,0,2,0,0,4,0,2,4,4,0,0,0,1,0,0,0,2,2,1,0,2,0,2,2,4,1,0,3,2,2,2,0,0,2,2,0,2,0,0,3,2,0,0,0,2,4,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,2,2,0,0,2,0,2,1,0,4,2,1,0,2,2,2,0,0,2,0,2,0,2,0,1,4,2,2,1,0,1,0,4,1,0,2,2,0,0,0,0,1,0,4,1,4,2,2,2,1,4,4,1,0,0,0,1,0,2,2,0,0,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,4,4,2,0,2,0,4,4,0,0,1,0,2,4,4,0,0,0,4,2,0,0,0,3,1,2,2,0,0,1,0,4,0,0,0,4,2,0,4,0,4,1,0,0,0,2,2,2,1,1,0,2,0,2,4,2,1,1,2,0,0,0,2,4,1,0,0,2,0,4,4,0,0,1,2,1,0,1,0,4,3,0,1,0,2,0,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,1,0,0,0,4,2,2,4,0,0,0,2,2,0,2,0,1,2,2,0,2,0,4,2,0,1,0,4,2,0,0,1,0,0,0,0,4,0,2,4,2,0,0,0,0,0,0,0,1,0,2,0,0,2,0,4,2,2,2,0,0,1,2,0,0,1,0,0,4,1,1,0,4,0,4,0,0,0,1,0,0,0,0,0,2,4,2,2,0,0,2,4,2,2,4,0,2,0,0,0,4,1,0,0,0,0,2,1,0,0,0,0,4,3,1,2,0,0,0,0,2,2,0,0,2,2,0,1,2,1,0,2,2,2,0,2,2,2,2,2,3,2,0,4,1,0,4,1,1,1,0,0,1,4,0,0,0,4,3,1,4,4,2,2]",ok,
8,uniform,3,0.6,0.656036442424165,0.2285507055842293,2,"fused_2_medium+fused_4_high, fused_3_medium","[673, 204, 174, 297, 451]",0.9,0.3,5.0,"{""fused_1"":0.48608650598972725,""fused_2"":0.1456667550921641,""fused_3"":0.4223661590264729,""fused_4"":0.3900517024754623,""fused_5"":0.24545968272937346}","{""fused_2_medium+fused_4_high"":0.6229112838283869,""fused_3_medium"":0.5449606761881384}","{""fused_1"":0.1776148335434047,""fused_2"":0.24005873483703252,""fused_3"":0.18396505975568603,""fused_4"":0.18766231952884674,""fused_5"":0.21069905233503008}","{""fused_2_medium+fused_4_high"":0.4916451234342625,""fused_3_medium"":0.5083548765657375}","{""fused_1"":0.8880741677170235,""fused_2"":1.2002936741851626,""fused_3"":0.9198252987784301,""fused_4"":0.9383115976442337,""fused_5"":1.0534952616751505}","{""fused_2_medium+fused_4_high"":0.983290246868525,""fused_3_medium"":1.016709753131475}",0.2133050585130643,0.0383546414674819,"[3,3,3,3,4,4,3,1,3,0,1,4,1,0,0,4,4,0,3,3,0,0,3,3,0,3,4,4,0,0,3,4,3,0,3,0,0,0,0,0,0,0,4,4,0,3,3,3,4,1,0,2,4,0,4,0,0,0,4,0,0,3,3,0,4,0,4,0,3,3,0,0,3,4,3,3,0,4,4,3,4,0,4,0,3,3,3,3,4,3,0,1,3,0,4,4,1,0,4,0,4,1,4,4,3,1,0,0,4,3,4,1,4,4,0,0,0,4,0,3,0,4,0,4,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,3,4,0,2,3,3,3,0,4,0,4,0,0,0,3,3,3,4,3,4,0,3,2,0,4,0,3,4,4,0,3,0,0,3,0,4,3,0,1,1,0,0,3,0,3,1,4,4,4,0,4,3,3,0,0,0,0,3,3,4,0,0,4,0,0,1,0,4,2,4,3,4,0,3,3,0,4,4,4,0,3,0,0,3,0,3,4,3,0,0,0,3,4,4,4,4,4,0,0,4,4,4,0,3,4,3,0,0,3,4,1,1,0,4,3,3,0,0,0,0,3,4,0,3,3,4,0,0,0,4,4,4,3,3,4,2,3,0,0,3,4,0,0,0,3,4,3,0,4,0,2,0,0,0,0,0,3,3,4,0,3,4,3,0,3,4,4,4,4,0,4,1,3,4,0,0,0,4,3,0,0,0,0,2,0,4,3,4,0,4,0,0,2,0,0,4,1,0,3,4,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,4,0,4,0,0,3,0,0,4,4,0,4,0,0,4,3,4,4,4,0,4,0,3,0,4,3,0,4,3,4,0,4,0,3,0,1,0,0,3,0,4,4,3,0,0,4,0,4,4,0,2,0,4,4,0,0,4,3,1,0,3,4,3,0,1,4,3,0,3,0,0,0,3,4,4,1,1,3,0,3,0,0,0,0,4,1,0,2,4,0,3,4,0,2,0,2,4,4,1,4,0,0,0,4,0,0,4,3,0,4,0,0,0,0,0,4,3,4,2,0,3,0,3,3,0,0,0,4,0,1,1,3,3,4,4,3,3,3,4,4,1,0,2,0,0,0,4,0,0,4,4,4,4,0,4,0,0,0,0,4,3,0,0,3,0,0,4,4,3,0,4,3,4,4,3,0,3,4,0,4,0,4,0,3,4,1,0,0,1,0,4,3,3,0,1,4,3,4,3,1,3,4,3,0,0,4,4,4,0,3,0,0,4,0,3,2,3,0,1,0,0,4,3,0,1,0,2,0,0,0,0,4,4,0,3,4,0,0,3,3,3,0,4,3,0,3,3,0,0,0,0,4,3,3,0,0,1,0,0,3,2,0,4,0,0,4,0,3,3,0,4,4,2,0,4,0,4,0,0,4,0,3,1,0,0,0,4,4,0,3,0,3,0,4,3,4,4,4,4,0,3,0,4,1,0,3,0,4,4,0,0,3,3,2,0,4,3,0,1,1,1,0,1,3,3,1,0,3,0,0,0,3,0,3,0,0,0,0,3,2,3,0,0,4,4,0,2,3,3,0,3,0,1,0,4,4,0,4,0,2,3,1,0,0,3,3,3,0,2,0,0,0,1,0,0,0,1,1,4,0,0,0,2,3,0,4,0,0,3,2,4,2,2,1,4,1,2,4,0,2,3,4,1,0,2,4,2,0,4,4,4,1,0,4,0,0,3,4,0,0,0,3,2,0,0,4,0,0,3,4,4,1,4,0,2,0,4,4,0,0,0,3,0,4,1,3,4,0,3,4,0,0,0,4,3,1,4,3,2,4,0,1,0,0,3,0,0,0,0,3,1,0,2,4,3,3,0,2,4,0,3,4,3,4,1,0,0,0,1,0,0,0,0,0,2,0,4,4,0,1,4,1,0,4,3,0,0,0,2,4,0,4,3,0,0,4,4,0,4,0,1,3,4,4,2,0,4,4,2,0,1,0,4,1,4,0,1,0,4,2,4,3,2,1,4,2,0,4,1,4,4,0,0,1,0,4,0,0,0,4,2,4,4,0,3,1,0,0,2,3,1,0,0,0,4,0,1,3,1,0,4,1,0,4,4,0,3,4,0,4,0,4,0,4,4,1,1,1,0,0,0,0,4,0,0,4,4,0,0,1,1,0,4,1,0,0,0,4,2,2,2,0,2,1,2,3,0,0,0,4,4,1,2,0,3,4,4,0,1,4,0,1,0,1,2,4,1,4,1,1,0,3,0,0,4,0,4,1,2,3,1,2,2,3,4,0,0,0,0,4,3,4,4,2,2,4,0,0,3,0,4,4,4,2,4,2,2,4,1,1,0,4,1,2,2,1,1,4,0,2,0,2,4,3,4,2,4,4,1,1,4,0,3,3,3,1,2,4,0,0,2,2,4,1,3,4,3,1,4,1,4,2,0,0,1,4,2,2,0,1,2,2,4,2,2,0,3,0,0,4,0,0,4,4,2,4,0,1,0,1,4,4,0,3,0,0,4,0,0,1,3,0,2,1,3,0,4,0,0,2,0,0,4,0,1,4,0,2,1,1,1,3,4,0,4,4,2,2,2,0,2,1,4,4,2,0,0,4,1,4,0,3,0,0,0,1,2,2,0,0,2,1,3,4,4,4,1,4,0,0,2,0,3,0,4,3,0,0,3,2,1,4,1,3,2,2,3,4,0,0,0,4,0,0,2,3,1,4,0,2,2,0,0,3,0,1,2,0,0,4,0,1,2,4,3,4,2,0,4,2,4,1,1,3,2,4,2,0,1,1,2,2,2,0,4,0,4,4,2,4,3,2,0,2,2,4,0,3,0,2,0,0,0,4,1,1,1,2,0,2,4,4,0,0,1,1,0,4,4,4,0,4,2,0,4,2,3,4,0,4,0,3,1,0,0,3,0,3,2,0,4,3,4,4,0,4,0,0,1,4,0,2,0,0,3,0,0,4,3,0,0,0,0,4,4,4,1,0,1,1,3,2,1,4,0,0,3,4,0,0,4,3,3,1,4,1,0,3,0,0,4,0,4,2,0,1,3,2,3,0,0,0,3,3,4,4,0,0,1,2,2,1,1,0,3,0,0,2,0,1,4,0,3,4,0,0,2,0,4,2,2,0,0,3,1,0,0,3,1,4,1,0,4,3,4,3,2,1,0,1,4,4,4,3,3,4,4,3,4,3,3,0,4,0,0,0,4,2,3,3,0,3,0,0,4,0,3,3,0,3,4,0,0,4,4,0,0,4,0,4,1,0,2,4,2,3,4,4,4,0,3,4,3,4,3,4,0,1,2,4,4,1,0,1,0,2,1,3,1,4,0,3,0,0,1,0,2,1,2,4,4,4,1,2,2,1,3,0,0,1,0,4,3,3,3,3,2,0,3,0,1,4,4,0,0,3,0,0,0,0,0,4,2,2,4,3,4,0,2,2,0,0,1,0,4,2,2,0,0,0,2,4,3,0,0,1,2,4,4,0,0,1,0,2,3,0,0,2,4,0,2,0,2,1,0,3,0,4,4,4,1,1,0,4,0,4,2,4,1,1,4,3,3,0,4,2,2,3,0,4,0,2,2,3,3,1,4,1,3,1,0,2,1,0,1,0,4,3,1,4,1,1,1,3,0,3,0,0,0,3,3,1,3,4,0,4,1,0,1,0,0,0,2,4,1,2,3,0,0,3,4,0,4,0,1,4,4,0,4,0,2,4,0,1,0,2,4,0,3,1,0,0,0,3,2,0,4,2,4,3,0,0,0,0,0,0,1,0,4,0,3,4,0,2,4,4,4,0,0,1,4,0,0,1,3,3,2,1,1,0,2,0,2,0,0,0,1,0,3,0,0,3,4,2,4,4,0,0,4,2,4,4,2,0,4,3,0,0,2,1,0,0,0,3,3,1,0,0,0,0,2,1,1,4,0,3,0,0,4,4,0,0,4,1,0,1,4,1,0,4,4,4,0,4,4,4,4,1,1,4,0,2,1,0,2,1,1,1,0,0,1,2,0,0,0,2,1,1,2,2,1,4]",ok,
9,uniform,3,0.55,0.656036442424165,0.2285507055842293,2,"fused_2_medium+fused_4_high, fused_3_medium","[673, 204, 174, 297, 451]",0.9,0.3,5.0,"{""fused_1"":0.48608650598972725,""fused_2"":0.1456667550921641,""fused_3"":0.4223661590264729,""fused_4"":0.3900517024754623,""fused_5"":0.24545968272937346}","{""fused_2_medium+fused_4_high"":0.6229112838283869,""fused_3_medium"":0.5449606761881384}","{""fused_1"":0.1776148335434047,""fused_2"":0.24005873483703252,""fused_3"":0.18396505975568603,""fused_4"":0.18766231952884674,""fused_5"":0.21069905233503008}","{""fused_2_medium+fused_4_high"":0.4916451234342625,""fused_3_medium"":0.5083548765657375}","{""fused_1"":0.8880741677170235,""fused_2"":1.2002936741851626,""fused_3"":0.9198252987784301,""fused_4"":0.9383115976442337,""fused_5"":1.0534952616751505}","{""fused_2_medium+fused_4_high"":0.983290246868525,""fused_3_medium"":1.016709753131475}",0.2133050585130643,0.0383546414674819,"[3,3,3,3,4,4,3,1,3,0,1,4,1,0,0,4,4,0,3,3,0,0,3,3,0,3,4,4,0,0,3,4,3,0,3,0,0,0,0,0,0,0,4,4,0,3,3,3,4,1,0,2,4,0,4,0,0,0,4,0,0,3,3,0,4,0,4,0,3,3,0,0,3,4,3,3,0,4,4,3,4,0,4,0,3,3,3,3,4,3,0,1,3,0,4,4,1,0,4,0,4,1,4,4,3,1,0,0,4,3,4,1,4,4,0,0,0,4,0,3,0,4,0,4,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,3,4,0,2,3,3,3,0,4,0,4,0,0,0,3,3,3,4,3,4,0,3,2,0,4,0,3,4,4,0,3,0,0,3,0,4,3,0,1,1,0,0,3,0,3,1,4,4,4,0,4,3,3,0,0,0,0,3,3,4,0,0,4,0,0,1,0,4,2,4,3,4,0,3,3,0,4,4,4,0,3,0,0,3,0,3,4,3,0,0,0,3,4,4,4,4,4,0,0,4,4,4,0,3,4,3,0,0,3,4,1,1,0,4,3,3,0,0,0,0,3,4,0,3,3,4,0,0,0,4,4,4,3,3,4,2,3,0,0,3,4,0,0,0,3,4,3,0,4,0,2,0,0,0,0,0,3,3,4,0,3,4,3,0,3,4,4,4,4,0,4,1,3,4,0,0,0,4,3,0,0,0,0,2,0,4,3,4,0,4,0,0,2,0,0,4,1,0,3,4,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,4,0,4,0,0,3,0,0,4,4,0,4,0,0,4,3,4,4,4,0,4,0,3,0,4,3,0,4,3,4,0,4,0,3,0,1,0,0,3,0,4,4,3,0,0,4,0,4,4,0,2,0,4,4,0,0,4,3,1,0,3,4,3,0,1,4,3,0,3,0,0,0,3,4,4,1,1,3,0,3,0,0,0,0,4,1,0,2,4,0,3,4,0,2,0,2,4,4,1,4,0,0,0,4,0,0,4,3,0,4,0,0,0,0,0,4,3,4,2,0,3,0,3,3,0,0,0,4,0,1,1,3,3,4,4,3,3,3,4,4,1,0,2,0,0,0,4,0,0,4,4,4,4,0,4,0,0,0,0,4,3,0,0,3,0,0,4,4,3,0,4,3,4,4,3,0,3,4,0,4,0,4,0,3,4,1,0,0,1,0,4,3,3,0,1,4,3,4,3,1,3,4,3,0,0,4,4,4,0,3,0,0,4,0,3,2,3,0,1,0,0,4,3,0,1,0,2,0,0,0,0,4,4,0,3,4,0,0,3,3,3,0,4,3,0,3,3,0,0,0,0,4,3,3,0,0,1,0,0,3,2,0,4,0,0,4,0,3,3,0,4,4,2,0,4,0,4,0,0,4,0,3,1,0,0,0,4,4,0,3,0,3,0,4,3,4,4,4,4,0,3,0,4,1,0,3,0,4,4,0,0,3,3,2,0,4,3,0,1,1,1,0,1,3,3,1,0,3,0,0,0,3,0,3,0,0,0,0,3,2,3,0,0,4,4,0,2,3,3,0,3,0,1,0,4,4,0,4,0,2,3,1,0,0,3,3,3,0,2,0,0,0,1,0,0,0,1,1,4,0,0,0,2,3,0,4,0,0,3,2,4,2,2,1,4,1,2,4,0,2,3,4,1,0,2,4,2,0,4,4,4,1,0,4,0,0,3,4,0,0,0,3,2,0,0,4,0,0,3,4,4,1,4,0,2,0,4,4,0,0,0,3,0,4,1,3,4,0,3,4,0,0,0,4,3,1,4,3,2,4,0,1,0,0,3,0,0,0,0,3,1,0,2,4,3,3,0,2,4,0,3,4,3,4,1,0,0,0,1,0,0,0,0,0,2,0,4,4,0,1,4,1,0,4,3,0,0,0,2,4,0,4,3,0,0,4,4,0,4,0,1,3,4,4,2,0,4,4,2,0,1,0,4,1,4,0,1,0,4,2,4,3,2,1,4,2,0,4,1,4,4,0,0,1,0,4,0,0,0,4,2,4,4,0,3,1,0,0,2,3,1,0,0,0,4,0,1,3,1,0,4,1,0,4,4,0,3,4,0,4,0,4,0,4,4,1,1,1,0,0,0,0,4,0,0,4,4,0,0,1,1,0,4,1,0,0,0,4,2,2,2,0,2,1,2,3,0,0,0,4,4,1,2,0,3,4,4,0,1,4,0,1,0,1,2,4,1,4,1,1,0,3,0,0,4,0,4,1,2,3,1,2,2,3,4,0,0,0,0,4,3,4,4,2,2,4,0,0,3,0,4,4,4,2,4,2,2,4,1,1,0,4,1,2,2,1,1,4,0,2,0,2,4,3,4,2,4,4,1,1,4,0,3,3,3,1,2,4,0,0,2,2,4,1,3,4,3,1,4,1,4,2,0,0,1,4,2,2,0,1,2,2,4,2,2,0,3,0,0,4,0,0,4,4,2,4,0,1,0,1,4,4,0,3,0,0,4,0,0,1,3,0,2,1,3,0,4,0,0,2,0,0,4,0,1,4,0,2,1,1,1,3,4,0,4,4,2,2,2,0,2,1,4,4,2,0,0,4,1,4,0,3,0,0,0,1,2,2,0,0,2,1,3,4,4,4,1,4,0,0,2,0,3,0,4,3,0,0,3,2,1,4,1,3,2,2,3,4,0,0,0,4,0,0,2,3,1,4,0,2,2,0,0,3,0,1,2,0,0,4,0,1,2,4,3,4,2,0,4,2,4,1,1,3,2,4,2,0,1,1,2,2,2,0,4,0,4,4,2,4,3,2,0,2,2,4,0,3,0,2,0,0,0,4,1,1,1,2,0,2,4,4,0,0,1,1,0,4,4,4,0,4,2,0,4,2,3,4,0,4,0,3,1,0,0,3,0,3,2,0,4,3,4,4,0,4,0,0,1,4,0,2,0,0,3,0,0,4,3,0,0,0,0,4,4,4,1,0,1,1,3,2,1,4,0,0,3,4,0,0,4,3,3,1,4,1,0,3,0,0,4,0,4,2,0,1,3,2,3,0,0,0,3,3,4,4,0,0,1,2,2,1,1,0,3,0,0,2,0,1,4,0,3,4,0,0,2,0,4,2,2,0,0,3,1,0,0,3,1,4,1,0,4,3,4,3,2,1,0,1,4,4,4,3,3,4,4,3,4,3,3,0,4,0,0,0,4,2,3,3,0,3,0,0,4,0,3,3,0,3,4,0,0,4,4,0,0,4,0,4,1,0,2,4,2,3,4,4,4,0,3,4,3,4,3,4,0,1,2,4,4,1,0,1,0,2,1,3,1,4,0,3,0,0,1,0,2,1,2,4,4,4,1,2,2,1,3,0,0,1,0,4,3,3,3,3,2,0,3,0,1,4,4,0,0,3,0,0,0,0,0,4,2,2,4,3,4,0,2,2,0,0,1,0,4,2,2,0,0,0,2,4,3,0,0,1,2,4,4,0,0,1,0,2,3,0,0,2,4,0,2,0,2,1,0,3,0,4,4,4,1,1,0,4,0,4,2,4,1,1,4,3,3,0,4,2,2,3,0,4,0,2,2,3,3,1,4,1,3,1,0,2,1,0,1,0,4,3,1,4,1,1,1,3,0,3,0,0,0,3,3,1,3,4,0,4,1,0,1,0,0,0,2,4,1,2,3,0,0,3,4,0,4,0,1,4,4,0,4,0,2,4,0,1,0,2,4,0,3,1,0,0,0,3,2,0,4,2,4,3,0,0,0,0,0,0,1,0,4,0,3,4,0,2,4,4,4,0,0,1,4,0,0,1,3,3,2,1,1,0,2,0,2,0,0,0,1,0,3,0,0,3,4,2,4,4,0,0,4,2,4,4,2,0,4,3,0,0,2,1,0,0,0,3,3,1,0,0,0,0,2,1,1,4,0,3,0,0,4,4,0,0,4,1,0,1,4,1,0,4,4,4,0,4,4,4,4,1,1,4,0,2,1,0,2,1,1,1,0,0,1,2,0,0,0,2,1,1,2,2,1,4]",ok,
