job_index,strategy,n_bins,min_support,silhouette_score,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message
0,uniform,3,1.0,0.4068583846092224,0,,[],,,,baseline_no_features,
1,uniform,3,0.95,0.4068583846092224,0,,[],,,,baseline_no_features,
2,uniform,3,0.9,0.4068583846092224,0,,[],,,,baseline_no_features,
3,uniform,3,0.85,0.4068583846092224,0,,[],,,,baseline_no_features,
4,uniform,3,0.8,0.4068583846092224,0,,[],,,,baseline_no_features,
5,uniform,3,0.75,0.4068583846092224,0,,[],,,,baseline_no_features,
6,uniform,3,0.7,0.46590152382850647,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 186, 973, 191, 292]",0.1,0.3,5.0,ok,
7,uniform,3,0.65,0.5065453052520752,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[160, 202, 850, 374, 213]",0.5,0.2,5.0,ok,
8,uniform,3,0.6,0.3965565860271454,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[166, 220, 749, 390, 274]",0.8,0.8,4.0,ok,
9,uniform,3,0.55,0.4012487828731537,11,"fused_10_low+fused_4_high, fused_11_high+fused_5_low+fused_6_low, fused_8_medium, fused_7_medium, fused_1_medium+fused_6_low, fused_10_low+fused_9_medium, fused_5_low+fused_6_low+fused_9_medium, fused_2_high, fused_1_medium+fused_5_low, fused_10_low+fused_6_low, fused_11_high+fused_6_low+fused_9_medium","[179, 360, 256, 323, 681]",0.9,0.9,5.0,ok,
10,uniform,3,0.5,0.4228367507457733,12,"fused_8_medium, fused_7_medium, fused_2_high, fused_11_high+fused_5_low+fused_6_low+fused_9_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low, fused_3_low, fused_10_low+fused_5_low+fused_6_low, fused_10_low+fused_4_high+fused_9_medium, fused_10_low+fused_11_high+fused_6_low, fused_4_high+fused_6_low, fused_1_medium+fused_5_low+fused_9_medium, fused_1_medium+fused_6_low+fused_9_medium","[198, 614, 255, 362, 370]",0.9,0.8,3.0,ok,
11,uniform,3,0.45,0.3749552369117737,15,"fused_8_medium, fused_3_low, fused_10_low+fused_4_high+fused_9_medium, fused_10_low+fused_11_high+fused_5_low+fused_6_low, fused_7_medium+fused_9_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_1_medium+fused_6_low, fused_10_low+fused_7_medium, fused_2_high+fused_5_low, fused_1_medium+fused_7_medium, fused_10_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_4_high+fused_6_low, fused_10_low+fused_4_high+fused_5_low+fused_6_low, fused_10_low+fused_5_low+fused_9_medium, fused_11_high+fused_5_low+fused_6_low+fused_7_medium","[657, 249, 185, 373, 335]",0.8,0.9,2.0,ok,
12,uniform,3,0.4,0.36394453048706055,20,"fused_10_low+fused_4_high+fused_9_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_9_medium, fused_2_high+fused_3_low, fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low, fused_5_low+fused_8_medium, fused_10_low+fused_11_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_4_high+fused_7_medium, fused_6_low+fused_8_medium, fused_10_low+fused_11_high+fused_1_medium+fused_5_low+fused_6_low, fused_2_high+fused_5_low+fused_6_low, fused_3_low+fused_5_low, fused_10_low+fused_1_medium+fused_4_high+fused_6_low, fused_8_medium+fused_9_medium, fused_1_medium+fused_2_high, fused_11_high+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_10_low+fused_6_low+fused_7_medium, fused_11_high+fused_2_high+fused_6_low, fused_2_high+fused_5_low+fused_9_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_7_medium, fused_4_high+fused_5_low+fused_6_low+fused_9_medium","[199, 571, 260, 401, 368]",0.8,0.3,5.0,ok,
13,uniform,3,0.35,0.34376758337020874,23,"fused_2_high+fused_3_low, fused_8_medium+fused_9_medium, fused_3_low+fused_8_medium, fused_10_low+fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_5_low+fused_6_low+fused_7_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_8_medium, fused_11_high+fused_5_low+fused_6_low+fused_8_medium, fused_3_medium, fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low, fused_10_low+fused_4_high+fused_7_medium+fused_9_medium, fused_11_high+fused_1_medium+fused_2_high+fused_5_low+fused_6_low+fused_9_medium, fused_4_high+fused_8_medium, fused_1_medium+fused_3_low, fused_1_medium+fused_8_medium, fused_11_high+fused_3_low+fused_5_low+fused_6_low, fused_10_low+fused_1_medium+fused_6_low+fused_7_medium, fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_7_medium, fused_10_low+fused_11_high+fused_4_high+fused_6_low+fused_7_medium, fused_1_medium+fused_4_high+fused_6_low+fused_9_medium, fused_2_high+fused_7_medium, fused_3_low+fused_5_low+fused_6_low+fused_9_medium","[493, 287, 202, 395, 422]",0.9,0.8,3.0,ok,
14,uniform,3,0.3,0.3067844808101654,24,"fused_11_high+fused_1_medium+fused_2_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_4_high+fused_8_medium, fused_10_low+fused_3_medium+fused_4_high, fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_7_medium+fused_8_medium, fused_11_high+fused_5_low+fused_6_low+fused_8_medium+fused_9_medium, fused_3_medium+fused_6_low, fused_2_high+fused_3_low+fused_8_medium, fused_8_high, fused_3_low+fused_7_medium, fused_10_low+fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_2_high+fused_3_low+fused_5_low+fused_6_low, fused_11_high+fused_1_medium+fused_3_low+fused_5_low+fused_6_low+fused_9_medium, fused_11_high+fused_1_medium+fused_6_low+fused_8_medium, fused_1_medium+fused_2_high+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_2_medium+fused_4_high, fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_1_medium+fused_5_low+fused_6_low+fused_8_medium, fused_10_low+fused_2_high+fused_5_low+fused_6_low+fused_9_medium, fused_11_high+fused_2_high+fused_5_low+fused_6_low+fused_7_medium, fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low+fused_7_medium, fused_10_low+fused_1_medium+fused_2_high+fused_6_low, fused_10_low+fused_1_medium+fused_2_high+fused_5_low, fused_3_low+fused_5_low+fused_8_medium","[376, 302, 270, 370, 481]",0.9,0.9,2.0,ok,
15,uniform,3,0.25,0.3549502193927765,38,"fused_2_high+fused_3_low+fused_8_medium, fused_11_high+fused_1_medium+fused_2_high+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_10_low+fused_2_medium+fused_4_high, fused_10_low+fused_11_high+fused_1_medium+fused_2_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_8_high, fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_10_low+fused_4_high+fused_8_medium+fused_9_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_8_medium+fused_9_medium, fused_2_medium+fused_6_low, fused_10_low+fused_11_high+fused_5_low+fused_6_low+fused_8_medium, fused_11_high+fused_3_medium+fused_5_low+fused_6_low, fused_3_medium+fused_9_medium, fused_5_low+fused_6_low+fused_8_high, fused_8_high+fused_9_medium, fused_5_low+fused_6_low+fused_7_medium+fused_8_medium, fused_7_high, fused_11_high+fused_1_medium+fused_2_high+fused_3_low+fused_5_low+fused_6_low+fused_9_medium, fused_11_medium, fused_3_low+fused_8_medium+fused_9_medium, fused_1_medium+fused_3_medium, fused_11_high+fused_3_medium+fused_4_high+fused_6_low, fused_1_medium+fused_8_high, fused_10_low+fused_3_medium+fused_4_high+fused_5_low+fused_6_low, fused_2_high+fused_3_low+fused_7_medium, fused_10_low+fused_11_high+fused_3_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_3_low+fused_5_low+fused_6_low, fused_10_low+fused_3_low+fused_5_low+fused_6_low+fused_9_medium, fused_11_high+fused_3_low+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_1_medium+fused_3_low+fused_5_low+fused_7_medium+fused_9_medium, fused_10_low+fused_11_high+fused_4_high+fused_6_low+fused_8_medium, fused_11_high+fused_3_low+fused_5_low+fused_6_low+fused_8_medium, fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_8_medium, fused_11_high+fused_6_low+fused_7_medium+fused_8_medium, fused_2_high+fused_4_high, fused_4_medium, fused_10_low+fused_4_high+fused_5_low+fused_8_medium, fused_1_medium+fused_3_low+fused_5_low+fused_6_low+fused_7_medium, fused_7_medium+fused_8_medium+fused_9_medium","[256, 367, 445, 383, 348]",0.9,0.9,2.0,ok,
