job_index,group_index,strategy,n_bins,min_support,silhouette_score,n_itemsets,selected_features,init
0,0,uniform,3,1.0,0.4068583846092224,0,,
1,0,uniform,3,0.95,0.4068583846092224,0,,
2,0,uniform,3,0.9,0.4068583846092224,0,,
3,0,uniform,3,0.85,0.4068583846092224,0,,
4,0,uniform,3,0.8,0.4068583846092224,0,,
5,0,uniform,3,0.75,0.4068583846092224,0,,
6,0,uniform,3,0.7,0.4258215129375458,4,"latent2_medium, mediumreview_low, latent3_low, goodreview_low",cao
7,0,uniform,3,0.65,0.5086379647254944,5,"latent2_medium, latent3_low, mediumreview_low+goodreview_low, rating_high, latent4_high",cao
8,0,uniform,3,0.6,0.40274474024772644,5,"latent2_medium, rating_high+latent3_low, followers_medium, mediumreview_low+goodreview_low+latent4_high, latent1_medium",huang
9,0,uniform,3,0.55,0.3954489529132843,11,"rating_high+latent3_low, mediumreview_low+goodreview_low+latent4_high, latent1_medium, badreview_medium, mediumreview_low+followers_medium, latent3_low+latent2_medium, mediumreview_low+goodreview_low+latent2_medium, revenue_high, goodreview_low+followers_medium, mediumreview_low+latent3_low, mediumreview_low+latent4_high+latent2_medium",huang
10,0,uniform,3,0.5,0.39137110114097595,12,"latent1_medium, badreview_medium, revenue_high, mediumreview_low+goodreview_low+latent4_high+latent2_medium, yearsjoined_low, mediumreview_low+goodreview_low+followers_medium+latent4_high, mediumreview_low+goodreview_low+latent3_low, rating_high+latent3_low+latent2_medium, mediumreview_low+latent4_high+latent3_low, mediumreview_low+rating_high, goodreview_low+followers_medium+latent2_medium, mediumreview_low+followers_medium+latent2_medium",cao
11,0,uniform,3,0.45,0.36798757314682007,15,"latent1_medium, yearsjoined_low, rating_high+latent3_low+latent2_medium, mediumreview_low+goodreview_low+latent4_high+latent3_low, badreview_medium+latent2_medium, mediumreview_low+latent4_high+followers_medium+latent2_medium+goodreview_low, badreview_medium+latent3_low, mediumreview_low+followers_medium+latent3_low, revenue_high+goodreview_low, badreview_medium+followers_medium, mediumreview_low+latent3_low+latent2_medium, mediumreview_low+rating_high+goodreview_low+latent3_low, mediumreview_low+rating_high+latent4_high+latent3_low, latent3_low+goodreview_low+latent2_medium, mediumreview_low+goodreview_low+latent4_high+badreview_medium",huang
12,0,uniform,3,0.4,0.3521610498428345,20,"rating_high+latent3_low+latent2_medium, mediumreview_low+latent4_high+followers_medium+latent2_medium+goodreview_low, revenue_high+yearsjoined_low, mediumreview_low+latent4_high+latent3_low+goodreview_low+rating_high, goodreview_low+latent1_medium, mediumreview_low+latent4_high+latent3_low+latent2_medium+goodreview_low, badreview_medium+rating_high+latent3_low, mediumreview_low+latent1_medium, mediumreview_low+latent4_high+followers_medium+latent3_low+goodreview_low, mediumreview_low+revenue_high+goodreview_low, goodreview_low+yearsjoined_low, mediumreview_low+rating_high+followers_medium+latent3_low, latent1_medium+latent2_medium, revenue_high+followers_medium, mediumreview_low+latent4_high+badreview_medium+latent2_medium+goodreview_low, mediumreview_low+revenue_high+latent4_high, mediumreview_low+latent3_low+badreview_medium, revenue_high+goodreview_low+latent2_medium, mediumreview_low+latent4_high+badreview_medium+followers_medium+goodreview_low, mediumreview_low+rating_high+goodreview_low+latent2_medium",huang
